"area","Mean.totalDensity","Median.totalDensity","SD.totalDensity","lower95","upper95","year.numb","year","N.obs.Area","Species"
"1",1.58458360293399e-08,1.4048045877148e-09,1.42450492688528e-07,2.80949400487546e-11,8.46363131069867e-08,1,1984,"2091","Albatrossiapectoralis"
"1",3.79525882400219e-08,3.76437092548631e-09,1.76733411055325e-07,5.97191355452646e-11,2.65562603228997e-07,2,1987,"2091","Albatrossiapectoralis"
"1",7.20063124601148e-08,7.59103931398673e-09,3.13020652557136e-07,8.44199038747124e-11,6.20891669727444e-07,3,1990,"2091","Albatrossiapectoralis"
"1",2.18680512538683e-07,2.62058850251958e-08,1.14504017051077e-06,5.57868682048673e-10,1.41937736276555e-06,4,1993,"2091","Albatrossiapectoralis"
"1",1.58988841069198e-07,2.71835774616998e-08,5.51475671138626e-07,5.52005419808114e-10,1.08595410825731e-06,5,1996,"2091","Albatrossiapectoralis"
"1",2.03583137376262e-06,3.75438103944351e-07,6.52271310738794e-06,6.93034777836904e-09,1.4877065836797e-05,6,1999,"2091","Albatrossiapectoralis"
"1",1.21764668155874e-06,1.75981736804374e-07,5.85776967979901e-06,3.16349919571498e-09,8.22208726005696e-06,7,2001,"2091","Albatrossiapectoralis"
"1",1.69715804271613e-06,2.95243609459184e-07,9.81576555448649e-06,5.43146123881839e-09,9.1176585442642e-06,8,2003,"2091","Albatrossiapectoralis"
"1",1.97360719971691e-06,3.6486215984433e-07,8.57744229595784e-06,9.57626060754509e-09,1.37110178825858e-05,9,2005,"2091","Albatrossiapectoralis"
"1",1.58995265722856e-07,1.6045496068637e-08,1.26783619821283e-06,2.92183355784265e-10,6.74194404954624e-07,10,2007,"2091","Albatrossiapectoralis"
"1",6.41634966708732e-07,8.81455519773189e-08,2.5897618287271e-06,1.69773406140958e-09,4.60596204787233e-06,11,2009,"2091","Albatrossiapectoralis"
"1",1.72501808730601e-06,1.91492680145275e-07,1.03069003802837e-05,3.96627832549683e-09,1.07587289089334e-05,12,2011,"2091","Albatrossiapectoralis"
"10",2.43532584046017e-09,2.18612216646295e-10,1.38312517580558e-08,2.67227482797229e-12,1.3961128096644e-08,1,1984,"933","Albatrossiapectoralis"
"10",8.57617711586375e-09,5.57919559057498e-10,8.80013286697532e-08,7.6802691021653e-12,4.91029722638064e-08,2,1987,"933","Albatrossiapectoralis"
"10",8.7814028321898e-09,6.82442009574158e-10,8.93409957084704e-08,7.66734197285777e-12,4.11193090322488e-08,3,1990,"933","Albatrossiapectoralis"
"10",1.57212341207471e-08,1.80099805644088e-09,9.26525422409396e-08,2.14205751123379e-11,8.76134964852965e-08,4,1993,"933","Albatrossiapectoralis"
"10",1.65788509319464e-08,2.11977582460252e-09,6.92161987628534e-08,3.03762613168299e-11,1.3278507565689e-07,5,1996,"933","Albatrossiapectoralis"
"10",1.82675390675062e-07,2.70906233653744e-08,7.24856767262137e-07,3.35533779261757e-10,1.26073410056881e-06,6,1999,"933","Albatrossiapectoralis"
"10",2.140210691793e-07,2.07904415798597e-08,2.00376785220155e-06,2.2399859005232e-10,1.05473021458001e-06,7,2001,"933","Albatrossiapectoralis"
"10",8.48464667408301e-08,1.21421832743813e-08,4.47459081320709e-07,1.80114095554626e-10,5.72386658321834e-07,8,2003,"933","Albatrossiapectoralis"
"10",7.7808147275408e-08,1.1083531148063e-08,3.4072907103229e-07,1.75906509954873e-10,5.21492567518291e-07,9,2005,"933","Albatrossiapectoralis"
"10",3.79522274978293e-08,5.08831444657202e-09,1.74962274525113e-07,7.63451227279488e-11,3.03128127418906e-07,10,2007,"933","Albatrossiapectoralis"
"10",5.94077318513542e-08,7.72774929464738e-09,2.27903695855066e-07,1.07122936768531e-10,5.28321444869213e-07,11,2009,"933","Albatrossiapectoralis"
"10",4.53809035919922e-08,5.05924629334305e-09,1.66445505042061e-07,7.09541687868412e-11,4.24424206625506e-07,12,2011,"933","Albatrossiapectoralis"
