taxon,genus,species,common name,diet,guild,recruit
Albatrossia pectoralis,Albatrossia,pectoralis,giant grenadier,I,A,Short
Anoplopoma fimbria,Anoplopoma,fimbria,sablefish,G,A,Short
Atheresthes stomias,Atheresthes,stomias,arrowtooth flounder,G,A,Short
Bathymaster signatus,Bathymaster,signatus,searcher,I,P,Medium
Bathyraja aleutica,Bathyraja,aleutica,Aleutian skate,I,B,Short
Bathyraja interrupta,Bathyraja,interrupta,sandpaper skate,I,B,Short
Clupea pallasi,Clupea,pallasii,Pacific herring,I,P,Medium
Dasycottus setiger,Dasycottus,setiger,spinyhead sculpin,I,B,Medium
DuskyandDarkRockfish,Sebastes,variabilis/ciliatus,dusky rockfish and Dark Rockfish,I,P,Medium
Gadus macrocephalus,Gadus,macrocephalus,Pacific cod,I,A,Short
Gadus.chalcogrammus,Gadus,chalcogramma,walleye pollock,I,P,Short
Glyptocephalus zachirus,Glyptocephalus,zachirus,rex sole,I,B,Short
Hemilepidotus jordani,Hemilepidotus,jordani,yellow Irish lord,I,B,Medium
Hemitripterus bolini,Hemitripterus,bolini,bigmouth sculpin,F,A,Medium
Hexagrammos decagrammus,Hexagrammos,decagrammus,kelp greenling,I,B,Short
Hippoglossoides elassodon,Hippoglossoides,elassodon,flathead sole,I,B,Medium
Hippoglossus stenolepis,Hippoglossus,stenolepis,Pacific halibut,G,A,Short
Hydrolagus colliei,Hydrolagus,colliei,spotted ratfish,I,B,Short
Isopsetta isolepis,Isopsetta,isolepis,butter sole,I,B,Medium
Lepidopsetta sp,Lepidopsetta,NA,rock soles,I,B,Medium
Limanda aspera,Limanda,aspera,yellowfin sole,I,B,Long
Lycodes brevipes,Lycodes,brevipes,shortfin eelpout,I,B,Long
Lycodes palearis,Lycodes,palearis,wattled eelpout,I,B,Long
Lyopsetta exilis,Lyopsetta,exilis,slender sole,I,B,Long
Malacocottus zonurus,Malacocottus,zonurus,darkfin sculpin,I,B,Long
Mallotus villosus,Mallotus,villosus,capelin,I,P,Medium
Merluccius productus,Merluccius,productus,Pacific hake,I,P,Short
Microstomus pacificus,Microstomus,pacificus,Dover sole,I,B,Long
Myctophidae,NA,NA,lanternfishes,I,P,Short
Myoxocephalus polyacanthocephalus,Myoxocephalus,polyacanthocephalus,great sculpin,I,B,Medium
Oncorhynchus keta,Oncorhynchus,keta,chum salmon,I,P,Short
Oncorhynchus tshawytscha,Oncorhynchus,tshawytscha,chinook salmon,F,A,Short
Ophiodon elongatus,Ophiodon,elongatus,lingcod,F,A,Short
Parophrys vetulus,Parophrys,vetulus,English sole,I,B,Medium
Platichthys stellatus,Platichthys,stellatus,starry flounder,I,B,Medium
Pleurogrammus monopterygius,Pleurogrammus,monopterygius,Atka mackerel,I,P,Short
Pleuronectes quadrituberculatus,Pleuronectes,quadrituberculatus,Alaska plaice,I,B,Long
Podothecus accipenserinus,Podothecus,accipenserinus,sturgeon poacher,I,B,Short
Raja binoculata,Raja,binoculata,big skate,G,B,Short
Raja rhina,Raja,rhina,longnose skate,F,B,Short
RougheyeandBlackspottedRockfish,Sebastes,aleutianus/melanostictus,rougheye and blackspotted rockfish,I,P,Medium
Sebastes alutus,Sebastes,alutus,Pacific ocean perch,I,P,Long
Sebastes babcocki,Sebastes,babcocki,redbanded rockfish,I,P,Medium
Sebastes borealis,Sebastes,borealis,shortraker rockfish,I,P,Long
Sebastes brevispinis,Sebastes,brevispinis,silvergray rockfish,I,P,Long
Sebastes polyspinis,Sebastes,polyspinis,northern rockfish,I,P,Long
Sebastes proriger,Sebastes,proriger,redstripe rockfish,I,P,Long
Sebastes variegatus,Sebastes,variegatus,harlequin rockfish,I,P,Long
Sebastes zacentrus,Sebastes,zacentrus,sharpchin rockfish,I,P,Long
Sebastolobus alascanus,Sebastolobus,alascanus,shortspine thornyhead,I,B,Long
Squalus acanthias,Squalus,acanthias,piked dogfish,G,B,Long
Thaleichthys pacificus,Thaleichthys,pacificus,eulachon,I,P,Long
Zaprora silenus,Zaprora,silenus,prowfish,I,P,Short
