taxon,genus,species,common.name,diet,guild,recruit
Albatrossia pectoralis,Albatrossia,pectoralis,giant grenadier,"I, C",A,Short
Anoplopoma fimbria,Anoplopoma,fimbria,sablefish,G,A,Short
Atheresthes stomias,Atheresthes,stomias,arrowtooth flounder,G,A,Short
Bathymaster signatus,Bathymaster,signatus,searcher,"I, C",P,Medium
Bathyraja aleutica,Bathyraja,aleutica,Aleutian skate,"I, B",B,Short
Bathyraja interrupta,Bathyraja,interrupta,sandpaper skate,"I, B",B,Short
Clupea pallasi,Clupea,pallasii,Pacific herring,"I, C",P,Medium
Dasycottus setiger,Dasycottus,setiger,spinyhead sculpin,"I, B",B,Medium
DuskyandDarkRockfish,Sebastes,variabilis/ciliatus,dusky rockfish and Dark Rockfish,"I, C",P,Medium
Gadus macrocephalus,Gadus,macrocephalus,Pacific cod,"I, B",A,Short
Gadus.chalcogrammus,Gadus,chalcogramma,walleye pollock,I,P,Short
Glyptocephalus zachirus,Glyptocephalus,zachirus,rex sole,"I, B",B,Short
Hemilepidotus jordani,Hemilepidotus,jordani,yellow Irish lord,"I, B",B,Medium
Hemitripterus bolini,Hemitripterus,bolini,bigmouth sculpin,"F, B",A,Medium
Hexagrammos decagrammus,Hexagrammos,decagrammus,kelp greenling,"I, B",B,Short
Hippoglossoides elassodon,Hippoglossoides,elassodon,flathead sole,"I, B",B,Medium
Hippoglossus stenolepis,Hippoglossus,stenolepis,Pacific halibut,G,A,Short
Hydrolagus colliei,Hydrolagus,colliei,spotted ratfish,"I, B",B,Short
Isopsetta isolepis,Isopsetta,isolepis,butter sole,"I, B",B,Medium
Lepidopsetta sp,Lepidopsetta,NA,rock soles,"I, B",B,Medium
Limanda aspera,Limanda,aspera,yellowfin sole,"I, B",B,Long
Lycodes brevipes,Lycodes,brevipes,shortfin eelpout,"I, B",B,Long
Lycodes palearis,Lycodes,palearis,wattled eelpout,"I, B",B,Long
Lyopsetta exilis,Lyopsetta,exilis,slender sole,"I, B",B,Long
Malacocottus zonurus,Malacocottus,zonurus,darkfin sculpin,"I, B",B,Long
Mallotus villosus,Mallotus,villosus,capelin,"I, C",P,Medium
Merluccius productus,Merluccius,productus,Pacific hake,"I, C",P,Short
Microstomus pacificus,Microstomus,pacificus,Dover sole,"I, B",B,Long
Myctophidae,NA,NA,lanternfishes,"I, C",P,Short
Myoxocephalus polyacanthocephalus,Myoxocephalus,polyacanthocephalus,great sculpin,"I, B",B,Medium
Oncorhynchus keta,Oncorhynchus,keta,chum salmon,"I, C",P,Short
Oncorhynchus tshawytscha,Oncorhynchus,tshawytscha,chinook salmon,F,A,Short
Ophiodon elongatus,Ophiodon,elongatus,lingcod,"F, C",A,Short
Parophrys vetulus,Parophrys,vetulus,English sole,"I, B",B,Medium
Platichthys stellatus,Platichthys,stellatus,starry flounder,"I, B",B,Medium
Pleurogrammus monopterygius,Pleurogrammus,monopterygius,Atka mackerel,"I, C",P,Short
Pleuronectes quadrituberculatus,Pleuronectes,quadrituberculatus,Alaska plaice,"I, B",B,Long
Podothecus accipenserinus,Podothecus,accipenserinus,sturgeon poacher,"I, B",B,Short
Raja binoculata,Raja,binoculata,big skate,G,B,Short
Raja rhina,Raja,rhina,longnose skate,F,B,Short
RougheyeandBlackspottedRockfish,Sebastes,aleutianus/melanostictus,rougheye and blackspotted rockfish,"I, C",P,Medium
Sebastes alutus,Sebastes,alutus,Pacific ocean perch,"I, C",P,Long
Sebastes babcocki,Sebastes,babcocki,redbanded rockfish,"I, C",P,Medium
Sebastes borealis,Sebastes,borealis,shortraker rockfish,"I, C",P,Long
Sebastes brevispinis,Sebastes,brevispinis,silvergray rockfish,"I, C",P,Long
Sebastes polyspinis,Sebastes,polyspinis,northern rockfish,"I, C",P,Long
Sebastes proriger,Sebastes,proriger,redstripe rockfish,"I, C",P,Long
Sebastes variegatus,Sebastes,variegatus,harlequin rockfish,"I, C",P,Long
Sebastes zacentrus,Sebastes,zacentrus,sharpchin rockfish,"I, C",P,Long
Sebastolobus alascanus,Sebastolobus,alascanus,shortspine thornyhead,"I, B",B,Long
Squalus acanthias,Squalus,acanthias,piked dogfish,"G, B",B,Long
Thaleichthys pacificus,Thaleichthys,pacificus,eulachon,"I, C",P,Long
Zaprora silenus,Zaprora,silenus,prowfish,"I, C",P,Short
