"area","Mean.totalDensity","Median.totalDensity","SD.totalDensity","lower95","upper95","year.numb","year","N.obs.Area","Species"
"1",59.9161155946973,58.4116869730405,9.32660692620596,44.4563610212857,81.0063884886872,1,1984,"1706","Atheresthes.stomias"
"1",57.27464860204,56.6629475724733,8.80807998729375,42.1418671058791,75.5454566624644,2,1987,"1706","Atheresthes.stomias"
"1",112.124487027798,111.073553691108,16.7383527239795,84.3722742818185,151.178783424481,3,1990,"1706","Atheresthes.stomias"
"1",77.5264472999795,77.0285747807719,11.4940453187823,57.62732474011,101.777559525141,4,1993,"1706","Atheresthes.stomias"
"1",70.9891720782111,70.1423071889537,9.79578730484646,54.1235067166751,92.590448706922,5,1996,"1706","Atheresthes.stomias"
"1",61.0737640613574,59.7240461733061,13.9744392543338,38.2836156806573,94.3730975480061,6,1999,"1706","Atheresthes.stomias"
"1",83.4196046420994,80.85665947612,20.0661283941426,50.7217065978576,127.809334942499,7,2001,"1706","Atheresthes.stomias"
"1",49.8036233387506,48.0255611307198,11.010653089742,32.1112263890523,75.3313943195612,8,2003,"1706","Atheresthes.stomias"
"1",46.9414088015038,45.55401824315,10.74031403495,29.216754127389,71.0325277138914,9,2005,"1706","Atheresthes.stomias"
"1",84.3851167918657,82.0662355709679,18.7033664551453,54.2184891453706,126.273111428867,10,2007,"1706","Atheresthes.stomias"
"1",62.7220637171547,62.1093986913298,9.68418306070826,46.5278366970262,83.7612189358498,11,2009,"1706","Atheresthes.stomias"
"1",58.7489367397702,58.1237205884585,8.95324409098631,43.6249671898769,78.7187686399929,12,2011,"1706","Atheresthes.stomias"
"1",29.9539646040324,29.6578821882103,5.19465770124726,20.5227598724304,40.5628239466936,13,2013,"1706","Atheresthes.stomias"
"1",38.3306244657172,37.9719131519316,6.55703593989831,26.618928321526,52.7599591036158,14,2015,"1706","Atheresthes.stomias"
"2",64.6317766774245,63.4132535302011,11.8528893915194,44.8622151211903,91.5345473429564,1,1984,"1251","Atheresthes.stomias"
"2",70.0181177794512,68.3994211344747,14.0739131393625,47.3060740113623,100.231014850363,2,1987,"1251","Atheresthes.stomias"
"2",148.794514174703,145.382678091885,32.4842037223192,97.5114313740195,222.088563080703,3,1990,"1251","Atheresthes.stomias"
"2",101.160441598571,99.753729760351,17.1643581661062,73.2036170444813,139.277624671387,4,1993,"1251","Atheresthes.stomias"
"2",103.422968082789,101.554140085928,16.8159256927452,74.4503116302212,142.96509924711,5,1996,"1251","Atheresthes.stomias"
"2",93.3805930169976,90.5565726823764,23.2622507589955,56.4353175937491,149.864540409207,6,1999,"1251","Atheresthes.stomias"
"2",165.535028053339,159.638036586257,44.184750414235,98.4930378101178,267.950186827104,7,2001,"1251","Atheresthes.stomias"
"2",117.363724825238,114.857167290403,26.2501756857438,73.0886566736686,179.32264182736,8,2003,"1251","Atheresthes.stomias"
"2",138.081019093054,133.676684359009,34.2055767899172,83.4257942965911,220.167825512761,9,2005,"1251","Atheresthes.stomias"
"2",244.666440710879,239.981622479314,53.5986459215444,158.443230409915,362.526493432691,10,2007,"1251","Atheresthes.stomias"
"2",124.511706991439,122.696108105582,22.2060607088814,87.4880742443918,171.865583695701,11,2009,"1251","Atheresthes.stomias"
"2",96.0886855817989,94.6524960010306,16.5055335925557,68.1475074105313,133.480656299827,12,2011,"1251","Atheresthes.stomias"
"2",62.1436554026274,60.7990979532353,10.5737409487438,44.2667720781363,85.9307882478579,13,2013,"1251","Atheresthes.stomias"
"2",89.6428105378688,88.3762056743091,14.9912094663412,64.4153823605174,122.864779251221,14,2015,"1251","Atheresthes.stomias"
"3",108.611165832721,106.231349646178,21.7800234646408,72.7447134158668,155.873709741347,1,1984,"720","Atheresthes.stomias"
"3",91.3046810488844,90.0255872640134,17.1676431546799,61.659593425147,128.925079777246,2,1987,"720","Atheresthes.stomias"
"3",131.9094506278,129.278497096967,28.804932578569,85.5393339119979,199.621327387996,3,1990,"720","Atheresthes.stomias"
"3",121.223832705985,119.241270036978,23.023848988899,80.8486474515681,169.487938607674,4,1993,"720","Atheresthes.stomias"
"3",92.1434525116522,90.8736452708272,18.8365026919203,61.1668889813959,132.105496701368,5,1996,"720","Atheresthes.stomias"
"3",131.961954529269,127.293670634675,34.8779685960591,78.3127200089933,218.198224251523,6,1999,"720","Atheresthes.stomias"
"3",191.058778120336,184.390694017783,52.8560213796093,107.396104913208,319.343635505562,7,2001,"720","Atheresthes.stomias"
"3",263.859793858441,256.802741344777,61.3362054662299,164.486056507193,395.261293621444,8,2003,"720","Atheresthes.stomias"
