area,Mean.avgPresence,Median.avgPresence,SD.totalPresence,lower95,upper95,year.numb,N.obs.Area,Species,oldArea
1,0.853659692,0.859035418,0.038811897,0.761516172,0.913272049,1,2091,Atheresthes.stomias,1
1,0.879387219,0.884436811,0.03363985,0.80055474,0.930126523,2,2091,Atheresthes.stomias,1
1,0.867944556,0.872275989,0.036484243,0.784102396,0.926039669,3,2091,Atheresthes.stomias,1
1,0.901449283,0.905241871,0.027566072,0.837818635,0.944128507,4,2091,Atheresthes.stomias,1
1,0.909001067,0.911684656,0.025497369,0.849755518,0.948342868,5,2091,Atheresthes.stomias,1
1,0.95533847,0.958069465,0.016333854,0.914621276,0.978337452,6,2091,Atheresthes.stomias,1
1,0.931445918,0.93519732,0.022234453,0.878972805,0.96568484,7,2091,Atheresthes.stomias,1
1,0.91187774,0.915258755,0.024876547,0.852580684,0.950255478,8,2091,Atheresthes.stomias,1
1,0.942776239,0.945710958,0.018421624,0.896841359,0.96914767,9,2091,Atheresthes.stomias,1
1,0.911000161,0.913968434,0.024636702,0.855729585,0.948379895,10,2091,Atheresthes.stomias,1
1,0.963309459,0.965597933,0.013241257,0.932860465,0.983646769,11,2091,Atheresthes.stomias,1
1,0.964836644,0.96738757,0.014182599,0.93006775,0.985110778,12,2091,Atheresthes.stomias,1
1,0.950857497,0.954164811,0.018424391,0.90720335,0.977376259,13,2091,Atheresthes.stomias,1
1,0.937497091,0.941459315,0.023285489,0.880903155,0.971785396,14,2091,Atheresthes.stomias,1
1,0.94468343,0.947044113,0.01644121,0.908725581,0.970624302,1,2091,Hippoglossus.stenolepis,1
1,0.980465171,0.981435639,0.006917723,0.963874027,0.990503854,2,2091,Hippoglossus.stenolepis,1
1,0.928992358,0.931331999,0.01914612,0.887727655,0.958635085,3,2091,Hippoglossus.stenolepis,1
1,0.960027998,0.961650947,0.011128917,0.936717957,0.977913081,4,2091,Hippoglossus.stenolepis,1
1,0.929758441,0.931487419,0.018273033,0.889404605,0.959573208,5,2091,Hippoglossus.stenolepis,1
1,0.940113945,0.942484256,0.01696307,0.901065359,0.965708822,6,2091,Hippoglossus.stenolepis,1
1,0.922653972,0.932381757,0.044402576,0.800045494,0.979271101,7,2091,Hippoglossus.stenolepis,1
1,0.922522765,0.931636461,0.045045814,0.81177267,0.979584421,8,2091,Hippoglossus.stenolepis,1
1,0.920169577,0.928291248,0.041721255,0.822235264,0.97222179,9,2091,Hippoglossus.stenolepis,1
1,0.935729947,0.94225428,0.032477515,0.853900732,0.978151641,10,2091,Hippoglossus.stenolepis,1
1,0.9159493,0.922938384,0.039923038,0.818249941,0.969239898,11,2091,Hippoglossus.stenolepis,1
1,0.941627131,0.944050135,0.017242904,0.900410784,0.968018494,12,2091,Hippoglossus.stenolepis,1
1,0.914390952,0.916807426,0.023808625,0.858665899,0.952829441,13,2091,Hippoglossus.stenolepis,1
1,0.929618677,0.932438916,0.021558877,0.881909073,0.964356983,14,2091,Hippoglossus.stenolepis,1
1,0.524904732,0.525404943,0.052172366,0.422743551,0.628658953,1,2091,Gadus.chalcogrammus,1
1,0.56520426,0.567183368,0.048719122,0.465598424,0.656438697,2,2091,Gadus.chalcogrammus,1
1,0.617267045,0.617637779,0.051049045,0.518110053,0.712191268,3,2091,Gadus.chalcogrammus,1
1,0.666545342,0.668548985,0.05007172,0.561380575,0.752066231,4,2091,Gadus.chalcogrammus,1
1,0.82031137,0.823537227,0.033111665,0.745070609,0.875318346,5,2091,Gadus.chalcogrammus,1
1,0.806457174,0.807822277,0.035702247,0.731099482,0.871470635,6,2091,Gadus.chalcogrammus,1
1,0.642611864,0.643360693,0.049334008,0.547967723,0.735707005,7,2091,Gadus.chalcogrammus,1
1,0.505702903,0.505031902,0.048093133,0.410100483,0.603139614,8,2091,Gadus.chalcogrammus,1
1,0.518492469,0.519565347,0.050418818,0.420545611,0.612028089,9,2091,Gadus.chalcogrammus,1
1,0.682738203,0.684009036,0.042989085,0.599881382,0.762899668,10,2091,Gadus.chalcogrammus,1
1,0.802454617,0.803802823,0.03403802,0.729886882,0.860449149,11,2091,Gadus.chalcogrammus,1
1,0.810354314,0.814557427,0.034552634,0.735617179,0.867212993,12,2091,Gadus.chalcogrammus,1
1,0.897847221,0.900766762,0.024929295,0.837485899,0.938239358,13,2091,Gadus.chalcogrammus,1
1,0.883363627,0.885823152,0.027983362,0.823893184,0.928406817,14,2091,Gadus.chalcogrammus,1
1,0.841422453,0.846887362,0.039087177,0.750536676,0.906945929,1,2091,Gadus.macrocephalus,1
1,0.884000472,0.886776932,0.02995204,0.813631653,0.932495942,2,2091,Gadus.macrocephalus,1
1,0.878105803,0.880613031,0.03087747,0.809193837,0.928616458,3,2091,Gadus.macrocephalus,1
1,0.847285776,0.85044209,0.035098398,0.772530607,0.908188899,4,2091,Gadus.macrocephalus,1
1,0.758789665,0.762392641,0.046918622,0.663292431,0.843031852,5,2091,Gadus.macrocephalus,1
1,0.740275642,0.74312053,0.04692647,0.643336529,0.825365862,6,2091,Gadus.macrocephalus,1
1,0.645249626,0.646845563,0.055119975,0.527248188,0.749437477,7,2091,Gadus.macrocephalus,1
1,0.632022661,0.631542256,0.0540023,0.526730784,0.737606431,8,2091,Gadus.macrocephalus,1
1,0.555020642,0.554951102,0.053555433,0.449482615,0.656488396,9,2091,Gadus.macrocephalus,1
1,0.593444036,0.593310199,0.055770623,0.477944134,0.697643342,10,2091,Gadus.macrocephalus,1
1,0.864008191,0.867373458,0.032440278,0.794099125,0.917556279,11,2091,Gadus.macrocephalus,1
1,0.874333459,0.878044773,0.033524244,0.796718704,0.927336545,12,2091,Gadus.macrocephalus,1
1,0.88278179,0.887203366,0.034343192,0.805484809,0.936842592,13,2091,Gadus.macrocephalus,1
1,0.862664191,0.867827671,0.038723342,0.776559665,0.925691442,14,2091,Gadus.macrocephalus,1
1,0.424048384,0.421975753,0.056894417,0.319778697,0.541061651,1,2091,Glyptocephalus.zachirus,1
1,0.708780854,0.71322299,0.04750595,0.605075059,0.788720871,2,2091,Glyptocephalus.zachirus,1
1,0.621030404,0.624181218,0.055562125,0.509190079,0.722386124,3,2091,Glyptocephalus.zachirus,1
1,0.58354046,0.584724152,0.052285696,0.481504543,0.680984644,4,2091,Glyptocephalus.zachirus,1
1,0.571651503,0.574040979,0.051571512,0.47333413,0.670608077,5,2091,Glyptocephalus.zachirus,1
1,0.639901485,0.640908236,0.054386086,0.532530943,0.737648325,6,2091,Glyptocephalus.zachirus,1
1,0.63012258,0.637369031,0.082358014,0.456231322,0.780109525,7,2091,Glyptocephalus.zachirus,1
