MASTER_ID,LONGITUDE,LATITUDE,LonUTMAlbers,LatUTMAlbers,WATER,SRTM_M,NGDC24_M,Area
111981,-146.02928,60.29554,218.8796229,6166.572253,1,-44,-54,1
111982,-145.99324,60.2934,220.8779401,6166.447723,1,-46,-53,1
111983,-145.95721,60.29124,222.876249,6166.323153,1,-48,-52,1
111984,-145.92118,60.28908,224.8745498,6166.198544,1,-53,-59,1
111985,-145.88515,60.2869,226.8728423,6166.073895,1,-46,-53,1
111766,-146.14171,60.28416,212.7594475,6164.951721,1,-50,-53,1
111767,-146.10568,60.28205,214.7577465,6164.827307,1,-46,-60,1
111768,-146.06965,60.27992,216.7560374,6164.702853,1,-44,-66,1
111769,-146.03362,60.27779,218.7543203,6164.578359,1,-45,-66,1
111770,-145.9976,60.27564,220.752595,6164.453826,1,-57,-72,1
111771,-145.96159,60.27349,222.7508615,6164.329253,1,-64,-74,1
111772,-145.92558,60.27133,224.7491199,6164.204641,1,-71,-74,1
111773,-145.88957,60.26915,226.74737,6164.079989,1,-69,-77,1
111774,-145.85357,60.26697,228.7456119,6163.955297,1,-60,-70,1
111775,-145.81757,60.26478,230.7438456,6163.830566,1,-66,-62,1
111776,-145.78158,60.26257,232.742071,6163.705795,1,-61,-67,1
111777,-145.74559,60.26036,234.7402881,6163.580984,1,-48,-58,1
111778,-145.70961,60.25814,236.7384969,6163.456134,1,-58,-52,1
111779,-145.67364,60.25591,238.7366973,6163.331244,1,-58,-51,1
111551,-146.25407,60.27269,206.6394669,6163.330808,1,-46,-50,1
111552,-146.21804,60.27061,208.6377476,6163.206509,1,-47,-51,1
111553,-146.18202,60.26851,210.6360202,6163.082171,1,-54,-61,1
111554,-146.146,60.26641,212.6342849,6162.957793,1,-69,-71,1
111555,-146.10998,60.26429,214.6325415,6162.833376,1,-55,-73,1
111556,-146.07397,60.26217,216.6307901,6162.708919,1,-58,-87,1
111557,-146.03796,60.26003,218.6290305,6162.584423,1,-65,-84,1
111558,-146.00196,60.25789,220.6272629,6162.459886,1,-90,-86,1
111559,-145.96597,60.25574,222.6254871,6162.335311,1,-82,-93,1
111560,-145.92997,60.25357,224.6237031,6162.210695,1,-86,-97,1
111561,-145.89399,60.2514,226.6219109,6162.08604,1,-89,-95,1
111562,-145.85801,60.24922,228.6201106,6161.961345,1,-90,-96,1
111563,-145.82203,60.24703,230.618302,6161.836611,1,-81,-86,1
111564,-145.78606,60.24483,232.6164851,6161.711837,1,-78,-82,1
111565,-145.75009,60.24262,234.61466,6161.587023,1,-76,-90,1
111331,-146.33032,60.25907,202.5179438,6161.585329,1,-45,-51,1
