Area,Species,Year,meanOcc
1,Albatrossia.pectoralis,1984,1.77E-06
1,Albatrossia.pectoralis,1987,1.35E-05
1,Albatrossia.pectoralis,1990,5.64E-06
1,Albatrossia.pectoralis,1993,1.31E-05
1,Albatrossia.pectoralis,1996,9.33E-06
1,Albatrossia.pectoralis,1999,3.30E-05
1,Albatrossia.pectoralis,2001,1.80E-05
1,Albatrossia.pectoralis,2003,1.10E-05
1,Albatrossia.pectoralis,2005,1.58E-05
1,Albatrossia.pectoralis,2007,7.03E-06
1,Albatrossia.pectoralis,2009,1.33E-05
1,Albatrossia.pectoralis,2011,1.23E-05
1,Albatrossia.pectoralis,2013,1.77E-05
1,Albatrossia.pectoralis,2015,9.36E-06
1,Anoplopoma.fimbria,1984,0.675226492
1,Anoplopoma.fimbria,1987,0.719729802
1,Anoplopoma.fimbria,1990,0.580354049
1,Anoplopoma.fimbria,1993,0.638776971
1,Anoplopoma.fimbria,1996,0.484696441
1,Anoplopoma.fimbria,1999,0.474815275
1,Anoplopoma.fimbria,2001,0.290301711
1,Anoplopoma.fimbria,2003,0.25874689
1,Anoplopoma.fimbria,2005,0.307210722
1,Anoplopoma.fimbria,2007,0.362066113
1,Anoplopoma.fimbria,2009,0.457816121
1,Anoplopoma.fimbria,2011,0.40708193
1,Anoplopoma.fimbria,2013,0.312263512
1,Anoplopoma.fimbria,2015,0.611651709
1,Atheresthes.stomias,1984,0.92808222
1,Atheresthes.stomias,1987,0.923767706
1,Atheresthes.stomias,1990,0.917247671
1,Atheresthes.stomias,1993,0.950921026
1,Atheresthes.stomias,1996,0.94276597
1,Atheresthes.stomias,1999,0.91327913
1,Atheresthes.stomias,2001,0.933362425
1,Atheresthes.stomias,2003,0.945330284
1,Atheresthes.stomias,2005,0.939399265
1,Atheresthes.stomias,2007,0.949499722
1,Atheresthes.stomias,2009,0.970984167
1,Atheresthes.stomias,2011,0.97839773
1,Atheresthes.stomias,2013,0.981767233
1,Atheresthes.stomias,2015,0.985317473
1,Bathymaster.signatus,1984,0.098867179
1,Bathymaster.signatus,1987,0.109444915
1,Bathymaster.signatus,1990,0.153683282
1,Bathymaster.signatus,1993,0.134333483
1,Bathymaster.signatus,1996,0.117408262
1,Bathymaster.signatus,1999,0.119384992
1,Bathymaster.signatus,2001,0.090130373
1,Bathymaster.signatus,2003,0.068503104
1,Bathymaster.signatus,2005,0.070828077
1,Bathymaster.signatus,2007,0.077822195
1,Bathymaster.signatus,2009,0.072506942
1,Bathymaster.signatus,2011,0.068114877
1,Bathymaster.signatus,2013,0.059133165
1,Bathymaster.signatus,2015,0.049612548
1,Bathyraja.aleutica,1984,0.010845409
1,Bathyraja.aleutica,1987,0.009098377
1,Bathyraja.aleutica,1990,0.008742389
1,Bathyraja.aleutica,1993,0.001143262
1,Bathyraja.aleutica,1996,0.011966967
1,Bathyraja.aleutica,1999,0.019741386
1,Bathyraja.aleutica,2001,0.021003318
1,Bathyraja.aleutica,2003,0.026639302
1,Bathyraja.aleutica,2005,0.01507239
1,Bathyraja.aleutica,2007,0.027596676
1,Bathyraja.aleutica,2009,0.031894728
1,Bathyraja.aleutica,2011,0.04524983
1,Bathyraja.aleutica,2013,0.050903209
1,Bathyraja.aleutica,2015,0.057449423
1,Bathyraja.interrupta,1984,0.079679757
1,Bathyraja.interrupta,1987,0.079723363
1,Bathyraja.interrupta,1990,0.091905853
1,Bathyraja.interrupta,1993,0.032442318
1,Bathyraja.interrupta,1996,0.184926606
1,Bathyraja.interrupta,1999,0.102578089
1,Bathyraja.interrupta,2001,0.11071119
1,Bathyraja.interrupta,2003,0.074103878
1,Bathyraja.interrupta,2005,0.096216952
1,Bathyraja.interrupta,2007,0.102294995
1,Bathyraja.interrupta,2009,0.090519493
1,Bathyraja.interrupta,2011,0.065662837
1,Bathyraja.interrupta,2013,0.105438
1,Bathyraja.interrupta,2015,0.041966057
1,Chionoecetes.bairdi,1984,0.273497785
1,Chionoecetes.bairdi,1987,0.047240611
1,Chionoecetes.bairdi,1990,0.085820572
1,Chionoecetes.bairdi,1993,0.073808291
1,Chionoecetes.bairdi,1996,0.162626568
1,Chionoecetes.bairdi,1999,0.065113693
1,Chionoecetes.bairdi,2001,0.148731958
1,Chionoecetes.bairdi,2003,0.29431872
1,Chionoecetes.bairdi,2005,0.207811148
1,Chionoecetes.bairdi,2007,0.255109215
1,Chionoecetes.bairdi,2009,0.2482608
1,Chionoecetes.bairdi,2011,0.168893717
1,Chionoecetes.bairdi,2013,0.643462508
1,Chionoecetes.bairdi,2015,0.142275972
1,Clupea.pallasi,1984,0.114316075
1,Clupea.pallasi,1987,0.419061927
1,Clupea.pallasi,1990,0.487390638
1,Clupea.pallasi,1993,0.627401113
1,Clupea.pallasi,1996,0.235073519
1,Clupea.pallasi,1999,0.156605979
1,Clupea.pallasi,2001,0.502724971
1,Clupea.pallasi,2003,0.558429274
1,Clupea.pallasi,2005,0.46556751
1,Clupea.pallasi,2007,0.445237003
1,Clupea.pallasi,2009,0.351664316
1,Clupea.pallasi,2011,0.521016663
1,Clupea.pallasi,2013,0.473981625
1,Clupea.pallasi,2015,0.803303667
1,Dasycottus.setiger,1984,0.402870789
1,Dasycottus.setiger,1987,0.301231292
1,Dasycottus.setiger,1990,0.228306411
1,Dasycottus.setiger,1993,0.427628946
1,Dasycottus.setiger,1996,0.330072212
1,Dasycottus.setiger,1999,0.248602175
1,Dasycottus.setiger,2001,0.348993492
1,Dasycottus.setiger,2003,0.470339958
1,Dasycottus.setiger,2005,0.416871021
1,Dasycottus.setiger,2007,0.427304449
1,Dasycottus.setiger,2009,0.448173703
1,Dasycottus.setiger,2011,0.499413257
1,Dasycottus.setiger,2013,0.64021777
1,Dasycottus.setiger,2015,0.45860947
1,Dusky.and.Dark.Rockfish,1984,0.13283799
1,Dusky.and.Dark.Rockfish,1987,0.130081046
1,Dusky.and.Dark.Rockfish,1990,0.091135444
1,Dusky.and.Dark.Rockfish,1993,0.085382759
1,Dusky.and.Dark.Rockfish,1996,0.059379393
1,Dusky.and.Dark.Rockfish,1999,0.048219821
1,Dusky.and.Dark.Rockfish,2001,0.051147327
1,Dusky.and.Dark.Rockfish,2003,0.053347714
1,Dusky.and.Dark.Rockfish,2005,0.077747135
1,Dusky.and.Dark.Rockfish,2007,0.080522136
1,Dusky.and.Dark.Rockfish,2009,0.068302341
1,Dusky.and.Dark.Rockfish,2011,0.062715914
1,Dusky.and.Dark.Rockfish,2013,0.068840454
1,Dusky.and.Dark.Rockfish,2015,0.071541521
1,Gadus.chalcogrammus,1984,0.715579477
1,Gadus.chalcogrammus,1987,0.797633551
1,Gadus.chalcogrammus,1990,0.885211176
1,Gadus.chalcogrammus,1993,0.915953157
1,Gadus.chalcogrammus,1996,0.867893971
1,Gadus.chalcogrammus,1999,0.791409918
1,Gadus.chalcogrammus,2001,0.813184541
1,Gadus.chalcogrammus,2003,0.850548691
1,Gadus.chalcogrammus,2005,0.883026211
1,Gadus.chalcogrammus,2007,0.866598977
1,Gadus.chalcogrammus,2009,0.792190853
1,Gadus.chalcogrammus,2011,0.859320368
1,Gadus.chalcogrammus,2013,0.907231739
1,Gadus.chalcogrammus,2015,0.915744449
1,Gadus.macrocephalus,1984,0.69038293
1,Gadus.macrocephalus,1987,0.67552698
1,Gadus.macrocephalus,1990,0.659132318
1,Gadus.macrocephalus,1993,0.52388863
1,Gadus.macrocephalus,1996,0.353417558
1,Gadus.macrocephalus,1999,0.324301714
1,Gadus.macrocephalus,2001,0.245481498
1,Gadus.macrocephalus,2003,0.220747172
1,Gadus.macrocephalus,2005,0.233448144
1,Gadus.macrocephalus,2007,0.260675281
1,Gadus.macrocephalus,2009,0.361615907
1,Gadus.macrocephalus,2011,0.523589935
1,Gadus.macrocephalus,2013,0.508906041
