"area","Mean.totalDensity","Median.totalDensity","SD.totalDensity","lower95","upper95","year.numb","year","N.obs.Area","Species"
"1",39.291929880833,38.6980095699714,7.06288807125723,27.3202053639571,56.0174010073599,1,1984,"2091","Atheresthes.stomias"
"1",45.4203264221757,45.0531746447187,7.40203913589672,32.7117672401223,61.5942431566029,2,1987,"2091","Atheresthes.stomias"
"1",108.175985843582,106.106510640676,18.2597961781891,78.447355295885,149.729716901082,3,1990,"2091","Atheresthes.stomias"
"1",75.3756621369458,74.0144484547268,13.1960912591689,53.582746768309,105.196424280084,4,1993,"2091","Atheresthes.stomias"
"1",69.1160947626519,67.970660494176,11.9851910367872,49.0400638935216,94.7580451249626,5,1996,"2091","Atheresthes.stomias"
"1",58.693686500445,56.6982402971478,14.5446267413404,36.1844461796609,91.5433041509704,6,1999,"2091","Atheresthes.stomias"
"1",100.979526650011,97.0919921245698,27.5210858969995,56.7167472765082,165.348954250443,7,2001,"2091","Atheresthes.stomias"
"1",54.5652246892324,53.0219151377793,14.103784159721,30.9596937829917,86.0701762109616,8,2003,"2091","Atheresthes.stomias"
"1",73.7113869529307,71.616167258178,17.9509159212765,45.9448251445899,114.53610554829,9,2005,"2091","Atheresthes.stomias"
"1",67.3901037771363,65.8686737384608,16.5923002653034,40.5606349994616,103.097854496698,10,2007,"2091","Atheresthes.stomias"
"1",48.7594384476387,47.7251022197471,7.95137983360993,36.0959722281963,67.1475819859677,11,2009,"2091","Atheresthes.stomias"
"1",39.1323114991097,38.4039633919586,7.43773935085194,26.9392224513848,56.1401783160771,12,2011,"2091","Atheresthes.stomias"
"1",21.4416035218632,20.8037796664323,4.63070243727131,14.05001753476,32.9475991334956,13,2013,"2091","Atheresthes.stomias"
"1",31.822188445848,31.4124592705529,5.13072117036474,22.9481605403563,43.520506003946,14,2015,"2091","Atheresthes.stomias"
"2",48.1597498388511,45.91029855337,14.5919677252326,26.6218931296254,83.7807955751347,1,1984,"534","Atheresthes.stomias"
"2",61.2434277315422,57.1559137002686,20.3632298276946,32.4834705935528,109.335182358868,2,1987,"534","Atheresthes.stomias"
"2",131.599588563312,127.140300160377,37.7604491903855,74.0324385386477,217.805503111856,3,1990,"534","Atheresthes.stomias"
