"MASTER_ID","LONGITUDE","LATITUDE","LonUTMAlbers","LatUTMAlbers","WATER","SRTM_M","NGDC24_M","Area","depth"
111981,-146.02928,60.29554,218.879622935398,6166.5722530378,1,-44,-54,1,54
111982,-145.99324,60.2934,220.877940064854,6166.44772289412,1,-46,-53,1,53
111983,-145.95721,60.29124,222.876249012218,6166.3231531523,1,-48,-52,1,52
111984,-145.92118,60.28908,224.874549754316,6166.198543802,1,-53,-59,1,59
111985,-145.88515,60.2869,226.872842268031,6166.07389483277,1,-46,-53,1,53
111766,-146.14171,60.28416,212.759447453861,6164.95172114541,1,-50,-53,1,53
111767,-146.10568,60.28205,214.757746497217,6164.82730678674,1,-46,-60,1,60
111768,-146.06965,60.27992,216.756037449255,6164.70285283857,1,-44,-66,1,66
111769,-146.03362,60.27779,218.754320286737,6164.57835929071,1,-45,-66,1,66
111770,-145.9976,60.27564,220.752594986483,6164.4538261329,1,-57,-72,1,72
111771,-145.96159,60.27349,222.750861525359,6164.32925335487,1,-64,-74,1,74
111772,-145.92558,60.27133,224.749119880285,6164.20464094625,1,-71,-74,1,74
111773,-145.88957,60.26915,226.74737002823,6164.07998889669,1,-69,-77,1,77
111774,-145.85357,60.26697,228.745611946217,6163.95529719574,1,-60,-70,1,70
111775,-145.81757,60.26478,230.743845611319,6163.83056583298,1,-66,-62,1,62
111776,-145.78158,60.26257,232.742071000662,6163.70579479788,1,-61,-67,1,67
111777,-145.74559,60.26036,234.740288091427,6163.58098407988,1,-48,-58,1,58
111778,-145.70961,60.25814,236.738496860837,6163.4561336684,1,-58,-52,1,52
111779,-145.67364,60.25591,238.73669728618,6163.33124355283,1,-58,-51,1,51
111551,-146.25407,60.27269,206.63946686796,6163.33080762059,1,-46,-50,1,50
111552,-146.21804,60.27061,208.637747556477,6163.20650910657,1,-47,-51,1,51
111553,-146.18202,60.26851,210.636020244305,6163.08217101111,1,-54,-61,1,61
111554,-146.146,60.26641,212.634284908148,6162.95779332418,1,-69,-71,1,71
111555,-146.10998,60.26429,214.632541524753,6162.83337603571,1,-55,-73,1,73
111556,-146.07397,60.26217,216.630790070935,6162.70891913558,1,-58,-87,1,87
111557,-146.03796,60.26003,218.629030523542,6162.58442261363,1,-65,-84,1,84
111558,-146.00196,60.25789,220.627262859484,6162.45988645965,1,-90,-86,1,86
111559,-145.96597,60.25574,222.625487055714,6162.33531066341,1,-82,-93,1,93
111560,-145.92997,60.25357,224.623703089243,6162.21069521461,1,-86,-97,1,97
111561,-145.89399,60.2514,226.621910937127,6162.08604010293,1,-89,-95,1,95
111562,-145.85801,60.24922,228.620110576479,6161.96134531798,1,-90,-96,1,96
111563,-145.82203,60.24703,230.618301984458,6161.83661084937,1,-81,-86,1,86
111564,-145.78606,60.24483,232.616485138281,6161.71183668662,1,-78,-82,1,82
111565,-145.75009,60.24262,234.614660015211,6161.58702281924,1,-76,-90,1,90
111331,-146.33032,60.25907,202.517943808821,6161.58532943234,1,-45,-51,1,51
111566,-145.71413,60.2404,236.612826592566,6161.46216923668,1,-77,-75,1,75
111332,-146.2943,60.25701,204.516197965058,6161.46110725023,1,-56,-54,1,54
111567,-145.67817,60.23817,238.610984847721,6161.33727592838,1,-76,-65,1,65
111333,-146.25829,60.25493,206.514444187722,6161.3368454843,1,-59,-64,1,64
111334,-146.22228,60.25285,208.51268245351,6161.21254412465,1,-66,-69,1,69
111568,-145.64221,60.23593,240.609134758092,6161.2123428837,1,-64,-61,1,61
111335,-146.18627,60.25075,210.510912739167,6161.08820316133,1,-68,-72,1,72
111569,-145.60627,60.23368,242.60727630116,6161.08737009196,1,-49,-51,1,51
111336,-146.15027,60.24865,212.509135021483,6160.96382258436,1,-64,-84,1,84
111337,-146.11428,60.24654,214.507349277308,6160.83940238372,1,-76,-90,1,90
111338,-146.07829,60.24441,216.505555483531,6160.71494254934,1,-78,-93,1,93
111339,-146.0423,60.24228,218.503753617104,6160.59044307109,1,-83,-96,1,96
111340,-146.00632,60.24014,220.501943655009,6160.46590393884,1,-104,-100,1,100
111341,-145.97034,60.23799,222.500125574302,6160.34132514236,1,-98,-100,1,100
111342,-145.93437,60.23582,224.498299352073,6160.21670667146,1,-103,-109,1,109
111343,-145.8984,60.23365,226.496464965475,6160.0920485158,1,-104,-108,1,108
111094,-146.47854,60.24947,194.400092634344,6160.08783397905,1,-54,-57,1,57
111344,-145.86244,60.23147,228.494622391702,6159.96735066508,1,-102,-110,1,110
111095,-146.44252,60.24745,196.398335813035,6159.9637673396,1,-52,-56,1,56
111345,-145.82648,60.22928,230.492771608005,6159.84261310894,1,-95,-105,1,105
111096,-146.40651,60.24541,198.396571171816,6159.83966113306,1,-59,-58,1,58
111346,-145.79053,60.22708,232.490912591684,6159.71783583696,1,-92,-101,1,101
111097,-146.3705,60.24336,200.394798687286,6159.71551534976,1,-61,-64,1,64
111347,-145.75458,60.22487,234.489045320096,6159.59301883868,1,-98,-100,1,100
111098,-146.3345,60.24131,202.39301833608,6159.59132997997,1,-76,-77,1,77
111348,-145.71863,60.22265,236.487169770642,6159.46816210363,1,-92,-97,1,97
111099,-146.2985,60.23925,204.39123009488,6159.46710501394,1,-80,-78,1,78
111349,-145.68269,60.22042,238.485285920783,6159.34326562126,1,-88,-88,1,88
111100,-146.2625,60.23717,206.389433940429,6159.34284044185,1,-81,-81,1,81
111101,-146.22651,60.23509,208.387629849507,6159.21853625387,1,-80,-89,1,89
111350,-145.64676,60.21818,240.483393748029,6159.21832938099,1,-75,-76,1,76
111102,-146.19053,60.23299,210.385817798947,6159.09419244007,1,-90,-91,1,91
111351,-145.61083,60.21594,242.481493229941,6159.09335337222,1,-69,-72,1,72
111103,-146.15455,60.23089,212.383997765639,6158.96980899055,1,-88,-93,1,93
111352,-145.57491,60.21368,244.479584344134,6158.96833758428,1,-59,-64,1,64
111104,-146.11857,60.22878,214.38216972651,6158.8453858953,1,-103,-109,1,109
111353,-145.53899,60.21141,246.477667068277,6158.84328200647,1,-58,-57,1,57
111105,-146.0826,60.22666,216.380333658543,6158.72092314431,1,-96,-99,1,99
111354,-145.50307,60.20913,248.475741380092,6158.71818662805,1,-51,-53,1,53
111106,-146.04663,60.22453,218.378489538778,6158.59642072752,1,-98,-101,1,101
111107,-146.01067,60.22238,220.376637344288,6158.47187863481,1,-104,-105,1,105
111108,-145.97471,60.22023,222.374777052216,6158.34729685603,1,-107,-108,1,108
111109,-145.93876,60.21807,224.372908639741,6158.222675381,1,-111,-112,1,112
110850,-146.51864,60.23372,192.277140417493,6158.21783223361,1,-57,-70,1,70
111110,-145.90281,60.2159,226.371032084103,6158.09801419947,1,-112,-110,1,110
110851,-146.48264,60.2317,194.275348961279,6158.09380249611,1,-101,-91,1,91
111111,-145.86686,60.21372,228.369147362583,6157.97331330114,1,-111,-111,1,111
110852,-146.44664,60.22968,196.273549728422,6157.9697331788,1,-93,-106,1,106
111112,-145.83092,60.21153,230.367254452524,6157.84857267574,1,-107,-113,1,113
110853,-146.41064,60.22764,198.271742695556,6157.84562427208,1,-95,-103,1,103
111113,-145.79499,60.20933,232.365353331308,6157.72379231287,1,-104,-111,1,111
110854,-146.37466,60.2256,200.26992783936,6157.72147576632,1,-94,-103,1,103
111114,-145.75906,60.20713,234.363443976383,6157.59897220214,1,-111,-110,1,110
110855,-146.33867,60.22355,202.268105136562,6157.59728765186,1,-106,-99,1,99
111115,-145.72314,60.20491,236.361526365237,6157.4741123331,1,-105,-108,1,108
110856,-146.30269,60.22148,204.266274563941,6157.47305991896,1,-101,-105,1,105
111116,-145.68722,60.20268,238.359600475417,6157.34921269527,1,-104,-104,1,104
110857,-146.26671,60.21941,206.264436098319,6157.34879255787,1,-99,-103,1,103
110858,-146.23074,60.21733,208.262589716572,6157.22448555879,1,-74,-97,1,97
