"MASTER_ID","LONGITUDE","LATITUDE","LonUTMAlbers","LatUTMAlbers","Area"
20398,-158.51258,54.81759,-543.6702062,5581.236846,15
20399,-158.48154,54.81881,-541.6815471,5581.127733,15
20400,-158.45051,54.82002,-539.6928897,5581.018577,15
20401,-158.41947,54.82122,-537.7042339,5580.909377,15
20402,-158.38843,54.82241,-535.7155797,5580.800135,15
20403,-158.35739,54.82359,-533.726927,5580.690849,15
20404,-158.32635,54.82476,-531.738276,5580.58152,15
20405,-158.2953,54.82593,-529.7496266,5580.472147,15
20406,-158.26425,54.82709,-527.7609789,5580.362731,15
20407,-158.23321,54.82823,-525.7723327,5580.253272,15
20408,-158.20216,54.82937,-523.7836882,5580.14377,15
20409,-158.1711,54.83051,-521.7950454,5580.034224,15
20734,-158.57678,54.83306,-547.5352852,5583.460176,15
20735,-158.54574,54.8343,-545.5465956,5583.351148,15
20736,-158.51469,54.83552,-543.5579076,5583.242076,15
20737,-158.48364,54.83674,-541.5692212,5583.132961,15
20738,-158.45259,54.83795,-539.5805364,5583.023802,15
20739,-158.42154,54.83915,-537.5918531,5582.914601,15
20740,-158.39049,54.84034,-535.6031715,5582.805356,15
20741,-158.35943,54.84152,-533.6144914,5582.696068,15
20742,-158.32837,54.84269,-531.625813,5582.586736,15
20743,-158.29731,54.84386,-529.6371362,5582.477361,15
20744,-158.26625,54.84502,-527.648461,5582.367943,15
20745,-158.23519,54.84617,-525.6597874,5582.258482,15
20746,-158.20412,54.84731,-523.6711154,5582.148977,15
20747,-158.17306,54.84844,-521.6824451,5582.039429,15
21072,-158.57892,54.85099,-547.4230487,5585.465384,15
21073,-158.54786,54.85222,-545.4343317,5585.356353,15
21074,-158.5168,54.85345,-543.4456163,5585.247279,15
21075,-158.48574,54.85467,-541.4569024,5585.138161,15
21076,-158.45468,54.85588,-539.4681901,5585.029001,15
21077,-158.42361,54.85708,-537.4794795,5584.919797,15
21078,-158.39254,54.85827,-535.4907703,5584.810549,15
21079,-158.36147,54.85945,-533.5020628,5584.701259,15
21080,-158.3304,54.86063,-531.5133569,5584.591925,15
21081,-158.29933,54.86179,-529.5246526,5584.482548,15
21082,-158.26825,54.86295,-527.5359499,5584.373127,15
21083,-158.23717,54.8641,-525.5472488,5584.263664,15
21084,-158.20609,54.86524,-523.5585494,5584.154157,15
21085,-158.17501,54.86638,-521.5698516,5584.044606,15
21086,-158.14393,54.8675,-519.5811554,5583.935013,15
21411,-158.58107,54.86892,-547.3108195,5587.470564,15
21412,-158.55,54.87015,-545.322075,5587.361531,15
21413,-158.51892,54.87138,-543.3333321,5587.252454,15
21414,-158.48784,54.87259,-541.3445908,5587.143334,15
21415,-158.45677,54.8738,-539.355851,5587.034171,15
21416,-158.42568,54.875,-537.3671129,5586.924965,15
21417,-158.3946,54.8762,-535.3783763,5586.815715,15
21418,-158.36352,54.87738,-533.3896412,5586.706422,15
21419,-158.33243,54.87856,-531.4009078,5586.597086,15
21420,-158.30134,54.87972,-529.412176,5586.487707,15
21421,-158.27025,54.88088,-527.4234458,5586.378284,15
21422,-158.23916,54.88203,-525.4347172,5586.268818,15
21423,-158.20807,54.88318,-523.4459902,5586.159309,15
21424,-158.17697,54.88431,-521.4572648,5586.049756,15
21425,-158.14587,54.88543,-519.4685411,5585.94016,15
21426,-158.11477,54.88655,-517.479819,5585.830521,15
21745,-158.58322,54.88684,-547.1985975,5589.475717,15
21746,-158.55213,54.88808,-545.2098256,5589.366681,15
21747,-158.52104,54.8893,-543.2210552,5589.257602,15
21748,-158.48995,54.89052,-541.2322863,5589.14848,15
21749,-158.45886,54.89173,-539.2435191,5589.039315,15
21750,-158.42776,54.89293,-537.2547534,5588.930106,15
21751,-158.39666,54.89413,-535.2659892,5588.820854,15
21752,-158.36556,54.89531,-533.2772267,5588.711559,15
21753,-158.33446,54.89649,-531.2884657,5588.60222,15
21754,-158.30336,54.89766,-529.2997063,5588.492838,15
21755,-158.27225,54.89881,-527.3109486,5588.383413,15
21756,-158.24115,54.89997,-525.3221924,5588.273945,15
21757,-158.21004,54.90111,-523.3334378,5588.164433,15
21758,-158.17893,54.90224,-521.3446849,5588.054878,15
21759,-158.14782,54.90337,-519.3559336,5587.94528,15
21760,-158.1167,54.90448,-517.3671839,5587.835638,15
21761,-158.08559,54.90559,-515.3784359,5587.725954,15
22078,-158.58537,54.90477,-547.0863829,5591.480842,15
22079,-158.55426,54.906,-545.0975834,5591.371804,15
22080,-158.52316,54.90723,-543.1087855,5591.262723,15
22081,-158.49205,54.90845,-541.1199891,5591.153598,15
22082,-158.46095,54.90966,-539.1311942,5591.044431,15
22083,-158.42984,54.91086,-537.142401,5590.935219,15
22084,-158.39873,54.91206,-535.1536093,5590.825965,15
22085,-158.36761,54.91324,-533.1648191,5590.716667,15
22086,-158.3365,54.91442,-531.1760306,5590.607326,15
22087,-158.30538,54.91559,-529.1872436,5590.497942,15
22088,-158.27426,54.91675,-527.1984583,5590.388515,15
22089,-158.24314,54.9179,-525.2096745,5590.279044,15
22090,-158.21202,54.91904,-523.2208923,5590.16953,15
22091,-158.18089,54.92017,-521.2321118,5590.059973,15
22092,-158.14976,54.9213,-519.2433329,5589.950372,15
22093,-158.11863,54.92242,-517.2545555,5589.840728,15
22411,-158.52528,54.92516,-542.996523,5593.267816,15
22412,-158.49416,54.92638,-541.007699,5593.158689,15
22413,-158.46304,54.92759,-539.0188766,5593.049519,15
22414,-158.43192,54.92879,-537.0300557,5592.940305,15
22415,-158.40079,54.92998,-535.0412364,5592.831049,15
22416,-158.36966,54.93117,-533.0524186,5592.721748,15
22417,-158.33853,54.93235,-531.0636025,5592.612405,15
22418,-158.3074,54.93352,-529.0747879,5592.503019,15
22419,-158.27627,54.93468,-527.0859749,5592.393589,15
22420,-158.24513,54.93583,-525.0971635,5592.284116,15
22421,-158.21399,54.93697,-523.1083537,5592.174599,15
22422,-158.18285,54.93811,-521.1195455,5592.06504,15
22423,-158.15171,54.93923,-519.1307389,5591.955437,15
22424,-158.12057,54.94035,-517.1419339,5591.845791,15
22740,-158.52741,54.94308,-542.8842678,5595.272881,15
22741,-158.49627,54.9443,-540.8954162,5595.163752,15
22742,-158.46514,54.94551,-538.9065661,5595.054579,15
22743,-158.434,54.94672,-536.9177176,5594.945364,15
22744,-158.40286,54.94791,-534.9288706,5594.836104,15
22745,-158.37171,54.9491,-532.9400252,5594.726802,15
22746,-158.34057,54.95028,-530.9511814,5594.617456,15
22747,-158.30942,54.95144,-528.9623391,5594.508067,15
22748,-158.27827,54.95261,-526.9734985,5594.398635,15
22749,-158.24712,54.95376,-524.9846594,5594.28916,15
22750,-158.21597,54.9549,-522.9958219,5594.179641,15
22751,-158.18482,54.95604,-521.006986,5594.070079,15
22752,-158.15366,54.95716,-519.0181517,5593.960474,15
22753,-158.1225,54.95828,-517.0293191,5593.850825,15
22754,-158.09135,54.95939,-515.040488,5593.741134,15
23061,-158.52953,54.96101,-542.7720198,5597.277919,15
23062,-158.49839,54.96223,-540.7831405,5597.168787,15
23063,-158.46723,54.96344,-538.7942628,5597.059612,15
23064,-158.43608,54.96464,-536.8053866,5596.950394,15
23065,-158.40493,54.96584,-534.816512,5596.841133,15
23066,-158.37377,54.96703,-532.8276389,5596.731828,15
23067,-158.34261,54.9682,-530.8387673,5596.62248,15
23068,-158.31145,54.96937,-528.8498974,5596.513088,15
23069,-158.28029,54.97054,-526.861029,5596.403654,15
23070,-158.24912,54.97169,-524.8721622,5596.294176,15
23071,-158.21795,54.97283,-522.883297,5596.184655,15
23072,-158.18678,54.97397,-520.8944334,5596.075091,15
23073,-158.15561,54.9751,-518.9055714,5595.965483,15
23074,-158.12444,54.97622,-516.916711,5595.855832,15
23364,-158.56283,54.9777,-544.6486876,5599.39202,15
23365,-158.53166,54.97893,-542.6597791,5599.282929,15
23366,-158.5005,54.98015,-540.6708721,5599.173795,15
23367,-158.46933,54.98137,-538.6819667,5599.064618,15
23368,-158.43817,54.98257,-536.6930628,5598.955397,15
23369,-158.407,54.98377,-534.7041604,5598.846133,15
23370,-158.37582,54.98495,-532.7152596,5598.736826,15
23371,-158.34465,54.98613,-530.7263603,5598.627476,15
23372,-158.31347,54.9873,-528.7374627,5598.518082,15
23373,-158.2823,54.98846,-526.7485665,5598.408645,15
23374,-158.25112,54.98962,-524.759672,5598.299165,15
23375,-158.21994,54.99076,-522.770779,5598.189641,15
