Common,Scientific,SpID,x
arrowtoothflounder,Atheresthesstomias,10110,8270
Pacifichalibut,Hippoglossusstenolepis,10120,6984
walleyepollock,Theragrachalcogramma,21740,6416
Pacificcod,Gadusmacrocephalus,21720,6030
rexsole,Glyptocephaluszachirus,,5984
flatheadsole,Hippoglossoideselassodon,,4960
Doversole,Microstomuspacificus,,4776
sablefish,Anoplopomafimbria,20510,4243
Pacificoceanperch,Sebastesalutus,30060,3757
eulachon,Thaleichthyspacificus,,2795
shortspinethornyhead,Sebastolobusalascanus,,2337
yellowIrishlord,Hemilepidotusjordani,,2122
southernrocksole,Lepidopsettabilineata,,2392
northernrocksole,Lepidopsettapolyxystra,,1924
rocksoleunident.,Lepidopsettasp.,,1379
Tannercrab,Chionoecetesbairdi,,1750
spinydogfish,Squalusacanthias,,1666
northernrockfish,Sebastespolyspinis,,1630
magistratearmhooksquid,Berryteuthismagister,,1602
longnoseskate,Rajarhina,,1558
searcher,Bathymastersignatus,,1235
darkfinsculpin,Malacocottuszonurus,,1107
Pacificlyrecrab,Hyaslyratus,,1082
bigmouthsculpin,Hemitripterusbolini,,1079
capelin,Mallotusvillosus,,1049
spinyheadsculpin,Dasycottussetiger,,1042
shortfineelpout,Lycodesbrevipes,,989
wattledeelpout,Lycodespalearis,,978
lingcod,Ophiodonelongatus,,972
redbandedrockfish,Sebastesbabcocki,,964
bigskate,Rajabinoculata,,867
buttersole,Isopsettaisolepis,,843
greatsculpin,Myoxocephaluspolyacanthocephalus,,758
shortrakerrockfish,Sebastesborealis,,758
harlequinrockfish,Sebastesvariegatus,,753
Beringskate,Bathyrajainterrupta,,750
sharpchinrockfish,Sebasteszacentrus,,739
Atkamackerel,Pleurogrammusmonopterygius,,735
prowfish,Zaprorasilenus,,675
Englishsole,Parophrysvetulus,,668
Aleutianskate,Bathyrajaaleutica,,640
giantgrenadier,Albatrossiapectoralis,,622
silvergrayrockfish,Sebastesbrevispinis,,611
kelpgreenling,Hexagrammosdecagrammus,,606
yellowfinsole,Limandaaspera,,590
Pacificherring,Clupeapallasi,,589
starryflounder,Platichthysstellatus,,588
slendersole,Lyopsettaexilis,,587
spottedratfish,Hydrolaguscolliei,,553
chinooksalmon,Oncorhynchustshawytscha,,498
Alaskaplaice,Pleuronectesquadrituberculatus,,439
lanternfishunident.,Myctophidae,,304
rosethornrockfish,Sebasteshelvomaculatus,,272
redstriperockfish,Sebastesproriger,,270
rougheyeandblackspottedrockfishunid.,,,2156
rougheyerockfish,Sebastesaleutianus,,506
blackspottedrockfish,Sebastesmelanostictus,,290
rougheye rockfish,Sebastes aleutianus,,1
blackspotted rockfish,Sebastes melanostictus,,1
duskyanddarkrockfishesunid,,,672
duskyrockfish,Sebastesvariabilis,,854
darkrockfish,Sebastesciliatus,,77
Pacifichake,Merlucciusproductus,,299
sturgeonpoacher,Podothecusaccipenserinus,,554
chumsalmon,Oncorhynchusketa,,531
