"year","stat6","pounds"
1985,230,243513
1985,231,216392
1985,232,14955
1985,240,697478
1985,241,171196
1985,242,360753
1985,250,3810518
1985,251,389438
1985,260,2159844
1985,261,894760
1985,270,3770767
1985,280,4334968
1985,281,85244
1985,290,2445975
1985,291,927992
1985,300,2689090
1985,310,1086517
1985,320,1674428
1985,330,90885
1985,340,256170
1985,350,675835
1985,24115,46
1985,24450,63
1985,24460,975
1985,24590,289
1985,445900,170836
1985,445931,323947
1985,445932,3426
1985,455900,394554
1985,455930,16846
1985,456031,3700
1985,465901,560207
1985,465902,49172
1985,465903,16442
1985,465932,3516
1985,466003,74
1985,466032,28953
1985,466033,121
1985,475830,29188
1985,475900,325719
1985,475931,87614
1985,475933,4717
1985,476001,13088
1985,476002,164
1985,476004,12170
1985,476005,2360
1985,476006,30569
1985,476007,4226
1985,476008,1082
1985,476031,1197
1985,476032,47163
1985,476033,60313
1985,476034,52953
1985,476035,3500
1985,476036,1806
1985,485800,156397
1985,485831,215231
1985,485832,42282
1985,485901,1980
1985,485931,68175
1985,485932,7053
1985,485935,21
1985,485936,1595
1985,486001,319
1985,486005,28343
1985,486031,2520
1985,486034,3293
1985,495700,35600
1985,495730,507561
1985,495800,39669
1985,495830,197
1985,495831,228961
1985,495832,68858
1985,495901,110977
1985,495931,208
1985,495932,778
1985,495938,463
1985,496002,6576
1985,505630,4340
1985,505700,460307
1985,505730,75213
1985,505800,12253
1985,505831,280
1985,505832,386
1985,505902,454
1985,505907,4780
1985,515630,194054
1985,515700,788418
1985,515730,145459
1985,515802,103982
1985,515831,21507
1985,515901,362
1985,515902,1414
1985,515903,716
1985,515904,5261
1985,515905,63
1985,515908,40
1985,515932,55
1985,515933,7896
1985,515935,1113
1985,515936,38
1985,525600,581057
1985,525630,4753497
1985,525701,1780
1985,525702,6378057
1985,525731,95563
1985,525732,4636
1985,525733,17000
1985,525803,19890
1985,525805,61198
1985,525806,18457
1985,525807,185925
1985,525902,235
1985,525931,701
1985,535530,77154
