Number,Concensus,Ole thinks keep on principal,Eric says data sucks,Species in Database,Scientific Name,Common Name,Kind of Organism,Fish or Invert
1,,,1,Actinaugeverrilli       ,Actinauge verrilli,Reticulate Anemone,Cnidarian,
2,,,,Actiniaria,Actiniaria,Anenome,Cnidarian,
3,1,1,,Albatrossiapectoralis,Albatrossia pectoralis,Giant grenadier,Fish,
4,,,1,Allocentrotusfragilis,Strongylocentrotus fragilis,Fragile Sea Urchin,Echinoderm,
5,1,1,,Anoplopomafimbria,Anoplopoma fimbria,Sablefish,Fish,
6,,,1,Aphrocallistesvastus,Aphrocallistes vastus,Cloud Sponge,Porfira,
7,1,1,,Atheresthesstomias,Atheresthes stomias,Arrowtooth Flouder,Fish,
8,,,,Bathymastersignatus,Bathymaster signatus,Carl Fish (Searcher),Fish,
9,,,1,Bathyplotes,Bathyplotes,Worm,Worm,
10,1,1,,Bathyrajaaleutica,Bathyraja aleutica,Aleutian Skate,Fish,
11,1,1,,Bathyrajainterrupta,Bathyraja interrupta,Sandpaper Skate,Fish,
12,,,,Berryteuthismagister,Berryteuthis magister,Magister armhook squid,Cephalopod,
13,1,1,,Chionoecetesbairdi,Chionoecetes bairdi,Tanner Crab,Crustacean,
14,,,1,Chlamysrubida,Chlamys rubida,Pacific Pink Scallop,Bivalve,
15,,,1,Chlamyssp.,Chlamys sp.,Scallop,Bivalve,
16,,,1,Chrysaoramelanaster,Chrysaora melanaster,Sea Nettle,Cnidaria,
17,,,1,Crossasterpapposus,Crossaster papposus,Common Sunstar,Echinoderm,
18,,,1,Ctenodiscuscrispatus,Ctenodiscus crispatus,Mud Star,Echinoderm,
19,,,1,Cyaneacapillata,Cyanea capillata,Lion's Mane Jellyfish,Cnidaria,
20,,,,Dasycottussetiger,Dasycottus setiger,Spinyhead sculpin,Fish,
21,,,1,Elassochirustenuimanus,Elassochirus tenuimanus,Hermit Crab,Crustacean,
22,,,,Fusitritonoregonensis,Fusitriton oregonensis,Oregon Hairy Triton,Gastropod,
23,1,1,,Gadusmacrocephalus,Gadus macrocephalus,Pacific Cod,Fish,
24,1,1,,Glyptocephaluszachirus,Glyptocephalus zachirus,Rex sole,Fish,
25,,,,Gorgonocephaluseucnemis,Gorgonocephalus eucnemis,Basket Star,Echinoderm,
26,1,1,,Hemilepidotusjordani,Hemilepidotus jordani,Yellow Irish Lord,Fish,
27,1,1,,Hemitripterusbolini,Hemitripterus bolini,Bigmouth Sculpin,Fish,
28,,,1,Henriciasp.,Henricia sp.,Booding Sea Star,Echinoderm,
29,1,1,,Hippoglossoideselassodon,Hippoglossoidese lassodon,Flathead sole,Fish,
30,1,1,,Hippoglossusstenolepis,Hippoglossus stenolepis,Pacific Halibut,Fish,
31,,,1,Hyaslyratus,Hyas lyratus,Pacific Lyre Crab,Crustacean,
32,1,1,,Hydrolaguscolliei,Hydrolagus colliei,Spotted Ratfish,Fish,
33,1,1,,Isopsettaisolepis,Isopsetta isolepis,Butter Sole,Fish,
34,,1,1,Lepidopsettabilineata,Lepidopsetta bilineata,Rock Sole,Fish,
35,,1,1,Lepidopsettapolyxystra,Lepidopsetta polyxystra,Northern rock sole,Fish,
36,,1,1,Lepidopsettasp.,Lepidopsetta sp.,Rock Sole Species,Fish,
37,,,,Lethasteriasnanimensis,Lethasterias nanimensis,Sea Star,Echinoderm,
38,,,,Lycodesbrevipes,Lycodes brevipes,Shortfin eelpout,Fish,
39,,,,Lycodespalearis,Lycodes palearis,Wattled eelpout,Fish,
40,1,1,,Lyopsettaexilis,Lyopsetta exilis,Slender Sole,Fish,
41,,,,Malacocottuszonurus,Malacocottus zonurus,Darkfi sculpin,Fish,
42,1,1,,Mallotusvillosus,Mallotus villosus,Capelin,Fish,
43,,,1,Metridiumfarcimen..Metridiumgiganteum,Metridium farcimen,Sea Anenome,Cnidaria,
