"Mean.totalDensity","Median.totalDensity","lower95","upper95","year","area"
636386.830093633,632554.572172625,499127.085300417,811942.719413377,1,"Total"
535024.789056521,531153.444769162,409319.147491258,677660.404146179,2,"Total"
801120.424437066,787795.123493969,591425.589057821,1064123.52880115,3,"Total"
866602.055714936,863361.738324241,733654.323674599,1014891.80489126,4,"Total"
682967.688669912,681290.606362918,576336.770390074,803066.936600578,5,"Total"
714315.494264301,698889.903788098,462916.550115992,1059277.78956201,6,"Total"
899487.426252057,883624.471651851,566309.544218505,1342325.5695832,7,"Total"
1165007.52198353,1130078.6051185,747499.484296121,1733150.57205601,8,"Total"
708041.184211985,692113.064604156,464346.879255823,1024986.89200276,9,"Total"
1016391.27971292,993674.288046308,692926.670837901,1460986.30338659,10,"Total"
765820.896182505,764059.286055291,645718.479344244,891461.374212527,11,"Total"
674021.789771952,669427.817787509,559510.208862202,815932.856314362,12,"Total"
112376.22995067,107627.352640458,64349.8583726685,200358.813555493,1,"1"
119329.994714116,114613.831655887,69855.585568751,200674.438749242,2,"1"
160579.469863848,154024.785201789,93170.5290363258,263307.640818629,3,"1"
148391.588818133,146329.184505421,107282.202521586,200543.532869263,4,"1"
122508.926221808,120299.078660427,85562.717828513,171282.300631556,5,"1"
112817.474539721,109825.203131555,64479.1814947038,178972.765857419,6,"1"
210390.422971178,203210.936473282,123126.916774073,335487.320876464,7,"1"
115884.670429137,112867.688759891,71322.8614039566,175702.20838832,8,"1"
128999.978651916,124024.01421164,77025.1839779739,205683.497149579,9,"1"
138145.27140722,133718.710903471,80564.1581584799,218257.608867469,10,"1"
97836.4618209029,96483.8853879054,71396.5366472051,130998.637206623,11,"1"
85746.6510157324,83130.4063860717,57671.2618273384,127117.461027567,12,"1"
27286.790257623,25610.862672171,14666.561652143,48715.320417,1,"2"
25615.502101883,24228.0174129378,13745.0284209059,45442.6836309052,2,"2"
36786.3928189776,35504.47698089,20422.9321409579,63436.4684947367,3,"2"
37757.597799009,37399.852756204,26290.6076281538,53356.2096350949,4,"2"
39716.1471290421,39032.6813743342,28024.1541559775,54583.7511927064,5,"2"
39092.1049556742,37533.2042106619,22654.3189499941,63377.1633655264,6,"2"
56843.1638598687,54682.3792403933,32926.6076356485,93791.4992755312,7,"2"
35196.2584711829,34204.4875561405,20670.2894935079,55052.7269054762,8,"2"
40686.8117393761,40037.9809050045,23918.1647403209,61806.9901781739,9,"2"
66198.1791057981,64787.541881325,41344.6434698777,99284.5488264218,10,"2"
40483.7197357316,39800.1298552258,29781.1982209224,55193.0420490877,11,"2"
31283.1906094306,30943.2123639595,22606.8267003829,41952.9727508963,12,"2"
26912.6356689887,25694.9355136444,15346.977715181,45575.6163895902,1,"3"
21633.2124124706,20184.5815535662,10685.9034797967,41626.236810873,2,"3"
28877.2957516349,26853.1455537842,13302.2280072425,57770.7143013001,3,"3"
33322.4476946614,32510.1850757871,22256.3019316713,48371.1459500677,4,"3"
33601.4720386551,32994.1135381896,22580.3738454663,47717.2872723711,5,"3"
49738.4949780188,47836.5292500674,29563.4236778208,79122.8512622053,6,"3"
50805.1684205729,48785.9632177964,29825.357007392,83050.24670069,7,"3"
40156.9338344764,38767.9403681024,24082.5128146794,64888.6819540758,8,"3"
40655.2818125143,39069.3018193859,23888.8738262815,66090.5660528961,9,"3"
61584.4704663818,59834.3974826942,37378.2696477485,95690.8026115871,10,"3"
40635.0867528421,39977.0090368622,29222.4357208153,56010.3806929867,11,"3"
34727.7408535085,33576.2457886374,21867.4881794573,53426.1661047622,12,"3"
21491.9560671588,20867.1623355623,12977.3117652969,34122.4767460828,1,"4"
15186.7783110993,14363.5082770154,8052.29046074425,27007.661505145,2,"4"
20069.7080408245,18749.6371941317,9899.14557648669,39872.3631229634,3,"4"
24832.85142507,24398.7692508022,16930.687958049,35159.571372463,4,"4"
24918.8464762666,24673.8626708722,17117.9674909074,34774.1917031949,5,"4"
35824.5533908813,34609.061740827,21834.4170230974,56160.4247827049,6,"4"
33369.9254112794,32211.6527327723,19827.0100830671,53880.5986216854,7,"4"
27178.4544622304,26449.9426857899,16930.7512356414,41823.6552748191,8,"4"
26541.4085185824,25684.3663908826,15842.4452148064,41298.4939342486,9,"4"
38788.7543837265,37799.3851709582,24244.216487718,58927.8996695925,10,"4"
26443.8710230168,26120.2552372874,19470.5593520777,35095.9806480736,11,"4"
22633.7635899015,22121.5461361399,15218.8913613319,33141.3270581072,12,"4"
42427.8578550575,41177.8493743078,27253.7393225228,63217.4720200832,1,"5"
26373.5426816512,25317.3935860865,15841.981360571,43087.8090812898,2,"5"
34270.4729434967,32304.9908101116,17579.2219430686,64877.610253195,3,"5"
42942.7601320784,42450.9601425377,30174.0546098555,58680.4811976646,4,"5"
44094.8584699005,43633.6671398337,31861.0462566783,58686.6528984619,5,"5"
62503.6970235459,60860.4112814925,38699.2024932164,96445.7810585403,6,"5"
51020.3198283539,49106.4461537877,29423.2366277681,80329.2047500309,7,"5"
43884.1711720811,42896.3392867166,27383.2528856664,66309.0077595823,8,"5"
41366.2851405686,40545.3110163309,25554.4725512179,62479.2577441014,9,"5"
52388.6773225329,51307.776933095,34229.19432531,78132.040401267,10,"5"
35911.1153871498,35509.7968326682,27213.7613182682,46951.6700028835,11,"5"
32722.4067892813,32033.8273190254,23486.0197439027,44513.660444124,12,"5"
104803.98715781,100819.357791088,61448.4281788417,176734.711195271,1,"6"
58331.5131429229,55278.3551525284,30023.2843941841,108186.777656263,2,"6"
69704.8502451811,64211.4248061501,34334.5318532429,130394.029032051,3,"6"
80944.8321907206,79157.9812442475,54752.6810959942,116413.488784553,4,"6"
64222.1726988381,63372.4936123401,45840.5065415609,88151.513264734,5,"6"
63969.1306827234,61871.3124438855,36799.1983152415,99891.7527624031,6,"6"
42972.3746575055,41071.5022185844,23417.509292433,71019.2397262364,7,"6"
39852.8682741433,38887.9322986338,24470.0889689452,59871.5093940279,8,"6"
38607.0206699626,37598.0996305795,23783.2084295749,57430.4067579544,9,"6"
47040.4654959909,46126.1374831961,30204.9474075628,71965.6682799289,10,"6"
39896.8478408034,39328.0767972428,29125.5279367311,52810.5232023744,11,"6"
28186.7372473728,27842.5337957035,20092.37621413,38400.2211687472,12,"6"
87592.4398713286,85710.66177151,54379.6105970583,131827.565875431,1,"7"
86580.9435024919,84042.9702254942,50461.319205404,138353.270204254,2,"7"
160966.840365476,153224.229002201,97736.3436136848,259423.249025751,3,"7"
175076.494052315,171595.890081508,113962.039202861,252560.606380673,4,"7"
112235.146144792,110075.503179868,77733.2561562578,158216.474035824,5,"7"
109027.384436331,105742.73098852,60728.4953752525,175530.71606847,6,"7"
123319.512504719,119757.976227898,69230.9536137493,201797.981948055,7,"7"
234534.431587645,229038.794571981,146274.401085468,366466.428794707,8,"7"
107307.540535164,104391.192116547,62188.9204523909,167024.472076583,9,"7"
190465.464549122,184467.512555201,115045.169416116,289638.775960737,10,"7"
120949.656150998,119712.86698497,83841.7497717229,165347.120011736,11,"7"
57830.4028651236,57034.6141363853,40824.5463327425,80761.5575556313,12,"7"
83672.0131966631,80000.013156934,42990.1138099806,143699.090217,1,"8"
68373.8687779303,64701.0772046313,38534.8215427397,118862.874558512,2,"8"
124147.673362049,118282.396749232,73815.8359954735,205220.578637064,3,"8"
127064.863603998,124301.073883776,84611.0025286726,184494.042592558,4,"8"
109835.261999275,106994.886856753,71392.0553244023,160126.667720013,5,"8"
133025.2987357,126299.207912452,73184.1571417463,222909.170416358,6,"8"
210457.870874205,198083.27951846,106952.072459884,377847.901843038,7,"8"
499887.586402196,476984.062857296,284179.914917949,856092.518400843,8,"8"
168615.63616497,163689.795832785,94691.5044558169,281368.87874804,9,"8"
228059.033585805,219739.593959087,134591.654672581,382950.852494512,10,"8"
180374.458944002,177647.863965762,124847.013731901,250948.828935011,11,"8"
150795.585606449,148255.354576829,101457.913195743,217709.317584439,12,"8"
33027.3227414049,31916.7945992745,21640.4784185105,49289.2445130759,1,"9"
27554.9774193694,26849.6605792861,17883.8545826778,41361.8920270032,2,"9"
42950.8960977186,41825.4892933418,28482.6071098329,63219.2602284642,3,"9"
47784.1628843855,47224.4221949366,35287.1848977284,64066.3429638399,4,"9"
39957.7340100764,39315.6078640921,29225.5238425965,55291.2543432087,5,"9"
34753.3367955289,34265.7163185474,20530.8759472785,53407.2661508436,6,"9"
35423.7753376663,34421.2610606155,21033.607806174,55231.4065021744,7,"9"
44657.405473921,43111.2653076065,28694.0745127667,66547.7763063932,8,"9"
43769.4281684736,42504.7916835655,27039.1443543523,67169.6620989758,9,"9"
62478.7760084173,60890.5154751457,38815.1334481376,94091.4216179138,10,"9"
45585.8718273573,44654.1155249013,32789.8704035275,61375.0190298526,11,"9"
55918.467025821,54654.9050896128,37746.4178377,82114.8723953655,12,"9"
29753.5183876126,28680.8889907151,18679.9270813253,46376.0928642303,1,"10"
