"Mean.totalDensity","Median.totalDensity","lower95","upper95","year","area"
391353.95938985,382137.881728929,276912.00875879,555161.275896663,1,"Total"
383953.91631809,377151.696444293,272986.852967009,544023.043163729,2,"Total"
270028.42139397,259974.614477793,176421.453364451,407881.482965176,3,"Total"
267706.68873503,265950.22816855,213922.601691279,330328.675885258,4,"Total"
364792.215469274,360972.416477844,280634.33743932,476199.55517523,5,"Total"
137582.155624969,133570.748331184,77713.5903008438,229922.61960344,6,"Total"
126987.37006613,120446.678138809,67316.2464589768,223990.786558191,7,"Total"
258069.083763608,248032.050666235,144854.385193794,443748.655672346,8,"Total"
131156.048283946,125178.450003113,70787.2006851256,218762.328940393,9,"Total"
165703.867315516,158602.955419706,92840.380480321,280344.934633616,10,"Total"
455015.40546952,450428.43171169,345525.536824292,587049.347506207,11,"Total"
290974.821802204,287220.88444078,227031.877121875,374035.355308755,12,"Total"
75842.2618451694,67210.5282751541,35331.5790001249,155879.211275366,1,"1"
52495.3230465637,48927.6784245255,24812.5050550295,100744.600888633,2,"1"
56620.6535315973,53229.8319832184,27785.165578147,106655.267677481,3,"1"
80198.2145628889,78619.098760457,54093.694102636,116379.439190166,4,"1"
91926.4169763925,89362.632659185,60079.9311022318,139047.804055665,5,"1"
34080.5783760919,32364.404696837,16319.6767273782,66777.0249046531,6,"1"
40714.8577368187,36676.7398231971,17192.8729823419,82593.4920123722,7,"1"
31048.9567575265,29442.1212000177,15577.9700774255,56142.012619704,8,"1"
21772.5762365528,19898.7854387836,8882.87835538733,43910.7276168339,9,"1"
18323.4364086076,17252.0578553967,8498.89612048991,35849.2747628984,10,"1"
61234.2461146865,59657.0548917618,40901.666018487,89865.3204138069,11,"1"
126318.622578893,120876.71665331,81501.3437913888,199635.416231036,12,"1"
25319.3736209198,23658.4359292488,12185.951647682,47992.9732074127,1,"2"
17673.2032312101,16398.4505062224,8450.04300370302,35564.7134084705,2,"2"
16983.8920504096,15710.942725963,7345.3664891159,33804.0487113349,3,"2"
14853.9784996634,14517.1661356157,10256.8583480724,20995.5636466408,4,"2"
16177.1017713327,15780.591608816,10855.2890314501,23476.7100057364,5,"2"
7625.43140256746,7131.54145632774,3613.11000628566,14678.9260540746,6,"2"
5417.56802135448,5005.79257118694,2337.81948685285,10855.2913632008,7,"2"
10451.6640116779,9895.76539991553,5059.13883064398,18498.7654393782,8,"2"
4104.53326737909,3815.47017751596,1840.06453338936,7719.42319816497,9,"2"
6882.37935065398,6501.46294756027,3298.47083050362,12524.3190247574,10,"2"
17805.0049728931,17298.6997002885,11906.0047224811,26591.6050017743,11,"2"
27423.2030953115,26519.6244180412,17437.4575895387,42113.0121046394,12,"2"
20741.0778544052,19577.1811961912,10984.477636301,36521.3756414522,1,"3"
14973.5446323815,13692.9770746632,6328.76114564588,31416.4014570248,2,"3"
9206.29338181078,7681.92784659113,2620.17651220716,24924.010866155,3,"3"
6387.78317919319,6118.46538170795,3567.88218517742,10888.3369901007,4,"3"
8614.92550092396,7900.29173743,4067.82445450415,17345.3122117655,5,"3"
4196.79394676521,3839.24580167063,1828.77154615472,8403.44740753681,6,"3"
4254.48243442271,3907.97597370208,1791.18486434502,8483.96997275089,7,"3"
10616.6575494423,10009.3631431559,5358.84319095751,19508.2914549678,8,"3"
4165.22187565244,3905.00253152319,1854.96225495637,8057.52689905655,9,"3"
5662.92939496785,5255.3038852375,2556.8676454487,10996.3997386365,10,"3"
8627.77373115254,8431.35029062299,5300.10040763006,13798.0202126434,11,"3"
10298.6274230779,9868.77740831025,6091.96903870063,16958.0980110894,12,"3"
14982.1895732504,14384.3624103819,8574.80060689811,25470.8305018377,1,"4"
12789.4390783961,11917.826122278,6054.06947784728,24779.3332814825,2,"4"
7487.96873321358,6338.5611485345,2224.74008627589,20165.4818553667,3,"4"
5097.40512991412,4931.97708630545,2919.46120217506,8711.1034728736,4,"4"
9072.02091115339,8373.64198888988,4254.39714662584,17690.1342846293,5,"4"
3592.79388909935,3326.11517810352,1649.05656777502,6960.61283586323,6,"4"
3200.11367215505,2933.44785280649,1391.35098484572,6393.93478264845,7,"4"
8787.17357148591,8293.02583481441,4599.82120892364,16342.631963997,8,"4"
4172.55601772263,3911.67879427217,1967.95057705719,7986.58794081065,9,"4"
4704.3508375767,4409.32959638897,2214.8637367105,9047.85617726917,10,"4"
6634.191168252,6525.20919462117,4351.36325733391,9763.23243472427,11,"4"
6479.2304388038,6234.21860551701,3889.53393374235,10535.5847917658,12,"4"
18678.5860366478,17953.0964056952,11098.1618470389,29964.8661617313,1,"5"
20997.8768741705,20108.0385967466,12411.7289650138,35206.523280849,2,"5"
12676.8041507981,11417.9284057923,4606.34735538356,29710.435982607,3,"5"
8530.80286779464,8321.35246716893,5386.6596441786,12990.0415085133,4,"5"
21083.8375197001,20261.951442094,11642.7826022359,36520.7039221796,5,"5"
6185.45629669687,5819.04233963053,3093.03438971171,11293.2692404125,6,"5"
5077.7580076912,4773.28705854639,2456.78637509291,9380.13848118916,7,"5"
13354.3757602017,12610.146618601,7361.95385136685,23920.8315219565,8,"5"
7560.01889965431,7245.60811095551,3779.7183999282,13567.300813456,9,"5"
8037.03316884963,7604.37094288861,4188.02382988603,14175.9685838928,10,"5"
12600.5644931903,12440.4849286595,8779.25823728726,17526.0542318662,11,"5"
11124.6917710837,10884.5044027621,7388.91707562392,16378.4838185404,12,"5"
30570.6220564746,29040.5019593271,16083.2973495582,52701.6316397374,1,"6"
75732.7107449488,71715.3686392379,41194.1792706988,136564.463351121,2,"6"
48208.5677712774,43296.4168474596,18771.8650564516,103079.180591241,3,"6"
26986.833597051,25891.1722771793,15944.5090065866,43360.0832755778,4,"6"
94065.0143567236,90753.8748218145,52202.6341427062,155078.088032773,5,"6"
17489.2800450689,16360.6999715676,7791.30443247654,32966.3293435555,6,"6"
12345.4093340961,11326.0060252099,5600.84209514162,24466.2036508595,7,"6"
27929.1218226833,26242.4758428375,14282.5449892797,50304.2606670794,8,"6"
18386.6665718763,17705.0638923684,8979.40949466735,31505.8979726225,9,"6"
22314.2154680584,21054.6378800134,11360.4048507505,40827.2437452482,10,"6"
56656.1283865536,54310.2968483946,34185.4445530564,90036.5956828383,11,"6"
35456.4277515393,34205.7115158565,22862.9908907738,53934.4483973662,12,"6"
50581.2999192505,49134.0694987048,29944.7492595463,80543.4281437941,1,"7"
102884.286276751,97886.7826042503,58796.2315547994,174589.560710075,2,"7"
65251.719077895,60780.752404757,30601.8586368395,129797.944921288,3,"7"
41863.8562372185,40657.2055873302,24368.6898747443,67117.0259272744,4,"7"
66140.0204038718,64365.9836226311,40524.7354929398,102714.546715868,5,"7"
33749.5314421199,31869.2646541026,16223.3622579067,59644.8098490065,6,"7"
22848.1936353319,21411.3687573057,10056.7293606044,43799.9074645951,7,"7"
45233.2139000142,43010.9582739848,23720.5430344725,79868.2501033337,8,"7"
23552.2036746376,22086.4277623945,11386.6593406334,44226.0042042308,9,"7"
45197.2475467148,42497.9678493286,22346.8907180112,85989.9424057995,10,"7"
