"Mean.totalDensity","Median.totalDensity","lower95","upper95","year","area"
6662.11881257515,6485.70374417857,4410.23091256823,9850.44722319341,1,"Total"
4515.17383503084,4459.0906712851,3240.63322876761,6317.5926340693,2,"Total"
1612.77157946235,1485.11648180892,721.198921206954,3202.41681175882,3,"Total"
1751.30651913309,1727.21421977532,1245.80786774736,2387.6819522507,4,"Total"
2136.01546104067,2089.2961121242,1482.59440365118,3032.49185123834,5,"Total"
3911.85793482673,3786.1113321261,2179.77353515712,6446.61786637908,6,"Total"
3719.54557470253,3564.52133229813,1659.86205128145,6792.19073619866,7,"Total"
4655.00999038156,4526.82790951181,2488.20616797054,7958.79702385197,8,"Total"
3953.18598200306,3719.20714673953,1725.24797506192,7568.62356391098,9,"Total"
2504.50302680702,2364.42537103343,1102.75210520381,4629.29365188373,10,"Total"
4874.60617515453,4725.24901191125,2767.79652285301,7888.53201856602,11,"Total"
5042.12483900511,4916.58705755418,3477.87800032912,7057.55250900853,12,"Total"
455.92679892132,427.700872952577,225.319340423277,855.333585405345,1,"1"
371.066738810018,347.296862663178,175.757935355297,710.116025556881,2,"1"
132.376848163711,116.061825345257,41.7017201812869,329.130690454644,3,"1"
174.300154794187,164.122060417379,80.9810975429013,332.945822640491,4,"1"
313.851530099917,299.044098831756,160.185139822989,571.983758495622,5,"1"
569.155968429619,529.832250951776,239.58224950048,1162.7134177272,6,"1"
387.167535772817,333.461984209733,99.9317338823579,987.538412441761,7,"1"
357.538575823757,318.684179937791,101.654649276156,846.641697759452,8,"1"
197.94759028674,174.381167860696,55.5752789626109,475.922873204736,9,"1"
198.575884217981,178.328591929654,58.609746456746,440.45536846049,10,"1"
502.53724890187,467.153135529303,206.869578282281,1001.47727465569,11,"1"
691.365491377239,641.485114573362,324.079870713036,1313.98354835058,12,"1"
182.447785765091,168.29236524494,74.2528165191071,374.662017939866,1,"2"
142.269593055692,131.410213856383,60.9823988162168,271.356727203306,2,"2"
49.3325768747833,42.4255245434105,14.8489317385209,120.901167642711,3,"2"
67.7152882127072,64.7712528513149,34.0186145864991,115.558199713301,4,"2"
122.117880439997,117.328745241438,63.4655747579029,209.011189362856,5,"2"
218.278789812732,201.669233211366,104.851941900136,402.528648856347,6,"2"
168.894634700805,150.91400894383,51.5489597033032,379.326894703835,7,"2"
146.398451008693,133.81143097644,47.8053582830035,318.452909911718,8,"2"
67.3840554639164,58.7315924735278,18.4102325838503,154.885328718905,9,"2"
51.1713493710224,46.2872920250668,14.3294446989364,122.063275774959,10,"2"
129.195209577232,119.884654559258,49.9485575092509,262.44452008772,11,"2"
158.84178573065,150.96312944488,78.1801711766185,293.026031309875,12,"2"
154.735338629476,138.736875436437,57.3227191615908,351.445869736341,1,"3"
113.734724188623,102.966905994266,45.3533068178703,233.113403363855,2,"3"
32.6262947284856,27.7629735207324,8.68066534820053,86.6687468468512,3,"3"
41.2959387547899,38.3099999952073,19.1023446863282,78.7609982943577,4,"3"
61.0615378946598,58.5651379692413,30.4945269089829,108.306481002864,5,"3"
105.527943745433,96.1967913063469,44.1413674425259,212.106085983256,6,"3"
103.244174611393,93.1239149814672,31.5325499628529,229.859323475745,7,"3"
97.7285787588663,88.1200704811079,29.9170209876264,209.55169797791,8,"3"
41.2221407262709,36.1844949702492,11.5201541406377,94.2842252734364,9,"3"
25.155736185319,21.5942115127782,6.71947440612503,64.3116536035589,10,"3"
48.071490790587,42.9975418352837,14.6179888504263,113.956235945548,11,"3"
46.4418112213287,41.1740502340215,15.7673544552711,102.271140871255,12,"3"
189.275252007459,177.097606841672,84.2906175554032,377.223513461604,1,"4"
128.15995418273,120.268936910583,60.7980783563964,242.943048098708,2,"4"
38.3351838233323,33.3738621686903,11.3254565684961,95.0708193458066,3,"4"
44.8952122065775,42.6866303102332,23.2333447509971,77.4172552414557,4,"4"
59.0315690339231,56.9944193834189,31.8686026705205,97.5192846376868,5,"4"
100.264099129655,93.2289897082294,45.3944899744269,194.187577150089,6,"4"
103.067154449105,93.7321312196934,36.3323294632119,221.775116241132,7,"4"
102.635637284983,95.5130979319428,37.5253771028154,198.656397498754,8,"4"
49.773540285247,44.3135237525705,15.8344811193261,110.397365548808,9,"4"
30.2636876293472,26.218778737048,9.2229328021132,73.4978463810808,10,"4"
57.426610583701,52.0572698169905,18.2607806114069,130.582155032527,11,"4"
55.5027319156131,50.8345071473587,21.4859067311739,112.500065149209,12,"4"
555.545409139016,526.258279461501,300.334067660382,975.537077983658,1,"5"
372.3158852282,358.388117584085,216.036945132955,608.790751685412,2,"5"
117.549848800789,102.87098824304,38.4320292185529,256.929718835474,3,"5"
126.501256530621,124.121936179385,76.7833668468786,195.62160373454,4,"5"
150.568007005608,147.275487608024,92.1631566200444,235.597034041317,5,"5"
264.287562057627,251.452546189417,132.352399196347,469.252373788025,6,"5"
279.287868461279,258.775350462794,114.478749627797,540.494915690992,7,"5"
312.523968142995,297.262256174882,139.094307643209,571.003996226123,8,"5"
193.978352842038,177.988789588967,72.5828135502717,401.282035839226,9,"5"
