"Mean.totalDensity","Median.totalDensity","lower95","upper95","year","area"
120109.404986334,117461.495459745,85966.520041764,168000.752967424,1,"Total"
105392.136855207,104215.355581228,74904.8515398813,151323.703641013,2,"Total"
91340.525587676,89420.9122564868,60819.0756178317,132420.278512228,3,"Total"
55550.2342115277,55139.3021973476,44141.3389282342,68784.7516285008,4,"Total"
63922.6075661299,63449.286976063,50291.4162298054,80288.8799534493,5,"Total"
63805.2993493444,61209.2755738129,34605.3728013628,113675.091992918,6,"Total"
65990.6577712362,63772.6201458817,29530.1325994698,118537.665058063,7,"Total"
78652.9671441347,75716.2526718345,41020.258931948,130028.336834993,8,"Total"
58433.9658431676,56424.5662757834,29817.1215336954,101004.534610938,9,"Total"
101267.33608716,97741.1920058304,58271.8620015784,166489.35780655,10,"Total"
74611.8591588014,74381.2758293809,53287.8547435824,96756.3168611521,11,"Total"
99749.1277194142,98510.1903366634,77940.2698928479,125640.728348801,12,"Total"
7272.26894009278,6541.91957524968,3337.6590410813,15329.3107539809,1,"1"
8221.36569509774,7808.82220253137,4337.96825411426,14010.875435412,2,"1"
6658.33811488815,6255.88410413546,3098.73921453245,11950.3974760553,3,"1"
5717.90195022648,5566.16790631659,3908.91824676918,8138.10641333073,4,"1"
8678.04303020071,8519.05124369229,5947.72864702601,12430.9822071034,5,"1"
5491.14046222484,5172.03270460994,2540.36169015866,10218.0485926756,6,"1"
7549.05541112695,6950.10716069639,3011.81455315996,15410.2353755442,7,"1"
8165.59690464613,7803.94214160591,3631.86462354299,14705.5699237251,8,"1"
5756.58797636201,5474.55701400167,2690.87028339584,10637.7147835995,9,"1"
8717.32877622459,8257.13498418465,4326.91845108738,15724.9228163536,10,"1"
7946.21571477261,7789.31886669623,4977.53194479777,11451.6095141686,11,"1"
13527.5926116567,13261.486192174,9124.61686741431,19298.1322485812,12,"1"
5453.09508927739,4968.23804876543,2142.6072060631,11858.4155355957,1,"2"
6153.10584363837,5650.26607243,2573.35228492855,13037.4281342329,2,"2"
5265.97088447191,4738.50959402501,2127.9086050531,11500.9361394801,3,"2"
4146.55659327043,4049.3329159328,2625.22737257594,6138.75298660796,4,"2"
7433.39585859677,7171.67915185889,4814.41055364141,11261.4172811199,5,"2"
5545.0188357336,5139.85062797137,2623.02463267183,10887.9863586576,6,"2"
8945.74559923699,8290.07581224638,3937.68532745478,17839.0884628034,7,"2"
7921.41413572501,7495.00917441697,3641.97004881737,14691.1059709032,8,"2"
5833.20030618627,5544.3239249007,2812.18465772241,10350.824168419,9,"2"
8305.11565886066,7845.95627533466,3993.06459629244,14754.321947458,10,"2"
8153.46353015604,7966.09837660363,4961.70754174547,12405.8750516646,11,"2"
8973.08940395308,8766.07529307336,5255.55862979722,13949.4073468982,12,"2"
3775.56471829292,3403.32444032796,1733.39972102304,7700.48727452965,1,"3"
4785.66027189797,4214.05862942079,1911.97062736844,11039.3268386727,2,"3"
3910.92326355094,3424.49607446307,1301.33958572935,9473.81304315362,3,"3"
2880.78364773102,2777.07978522064,1721.87955678572,4661.29527263762,4,"3"
3458.37044292468,3357.4342676062,2100.97297734705,5451.46588399637,5,"3"
2725.81134662487,2585.64757885011,1321.53719839781,5039.91148275883,6,"3"
3607.89669083887,3356.72550499388,1573.13007084649,7191.84648975839,7,"3"
3240.24750023899,3027.16909911156,1468.49398087998,5961.21211596319,8,"3"
2091.74573746971,1983.42897638682,975.886147732461,3882.74023804983,9,"3"
5095.28778663634,4791.6344458241,2626.38437197098,9272.84270852935,10,"3"
5959.03327653141,5856.30462061099,3839.80702609668,8857.18895203961,11,"3"
4545.13965925227,4309.93932810951,2527.15563400308,7844.11849307579,12,"3"
3384.23338423472,3198.03153385018,1671.02612035715,6417.96264712484,1,"4"
4145.06694861995,3799.43295176486,1926.63635367524,8392.34950023898,2,"4"
3199.86342239573,2867.53862713061,1227.17954110822,7189.68775231256,3,"4"
2256.01366242201,2211.14672421693,1415.90041253223,3512.03826785251,4,"4"
2377.87774243632,2318.91845485763,1481.15591619783,3652.52172142183,5,"4"
2072.27822954859,1954.15469905389,983.379441360395,3997.46504806648,6,"4"
2512.43387077759,2343.76284605364,1041.5184135878,4984.40419999551,7,"4"
2582.21194672529,2469.96199850296,1197.53547686786,4665.74516180814,8,"4"
1562.4465061823,1487.18444519321,709.872817945651,2897.11899754602,9,"4"
3796.83919481677,3603.41321314509,1947.38544165566,6852.38299605892,10,"4"
3922.63498646245,3877.10966494114,2610.55067650409,5636.70964626257,11,"4"
3024.66947677769,2952.5738449532,1811.37992281434,4802.10102225962,12,"4"
10189.1613391831,9698.59287259969,5239.38643799437,18626.0554375743,1,"5"
11145.6986668121,10675.2428459222,6261.38710317805,18713.5262062308,2,"5"
8317.67995250282,7680.98194199002,3693.96979118594,16145.4353428184,3,"5"
5527.23964093164,5436.16691942442,3629.46172545272,7932.40177113382,4,"5"
6376.36440755389,6156.08317815022,4066.40748297099,9551.69263597908,5,"5"
6286.06083463773,5853.8430468062,2985.07745681941,12307.1975588877,6,"5"
7017.19592964744,6625.50701606905,3054.99889928926,13379.8288779233,7,"5"
7748.25708999587,7431.74023463475,3895.28456959672,13373.9846675737,8,"5"
5354.70358783565,5080.03638452239,2559.08428959037,9542.98855930037,9,"5"
10713.4564337723,10074.9619320054,5639.5961620688,19086.0925323069,10,"5"
8853.06328930064,8669.82293376129,6103.56235734473,12553.1195856968,11,"5"
7580.72631162744,7443.22861563798,4711.83002313927,11413.2773611648,12,"5"
19733.7466479229,18429.6894436339,9071.48055701459,38603.9130343919,1,"6"
18312.7949643178,17069.3706565172,8504.91166172795,34427.9102217453,2,"6"
13560.8661381164,12203.3715508959,5726.870337179,29010.3176333799,3,"6"
9181.54164430949,8906.58447507347,5828.06136350377,14113.6617820952,4,"6"
9414.29585319974,9022.51922414633,5391.71707781353,15828.9650777807,5,"6"
10145.7129244463,9415.38083690402,4431.95604120677,20485.0640484003,6,"6"
8423.13834385797,7795.14187578537,3280.56018573812,17885.0529829342,7,"6"
10386.056910055,9914.7828552528,4808.36741868749,19116.7233592213,8,"6"
7808.13146690259,7308.40055124437,3402.28705020337,15085.0291415276,9,"6"
13229.7489301409,12547.6156919511,6255.91709244866,24881.6591476124,10,"6"
9551.52731744278,9232.38578041986,5666.05765495469,15754.0854589522,11,"6"
11114.8885570481,10881.5216277259,6851.41096647876,17408.0436351645,12,"6"
31268.6690432595,29799.1685844414,17792.3588680201,55491.5415496798,1,"7"
15866.678401905,15022.1002123568,8165.67057077339,28052.2391981826,2,"7"
10641.7389184965,10019.3660133358,5369.57974722995,19729.4382631251,3,"7"
5587.72470483334,5404.36710240976,3140.20393266743,8906.87539828827,4,"7"
