"Mean.totalDensity","Median.totalDensity","lower95","upper95","year","area"
9577.40911320531,9413.79938679447,6477.62618336129,13715.0642966576,1,"Total"
14429.5299315772,14175.3195375451,9739.30290570118,19947.0164155719,2,"Total"
27067.4235436728,26550.018108485,19466.2884761635,37294.3386257778,3,"Total"
23512.0230407739,23279.0270794539,18279.2310758977,29984.3547665533,4,"Total"
14869.6062234063,14685.810726926,11483.6348235416,19002.410509686,5,"Total"
10985.3893883549,10603.8635177989,6853.52050698,16624.4898780905,6,"Total"
11194.6900398595,10812.3638903194,6191.40528664002,18225.7647814409,7,"Total"
13767.9342183079,13355.1218150828,7992.94622043319,21928.4912159871,8,"Total"
9043.50938410326,8786.81056209497,5079.04465798912,14808.5069297286,9,"Total"
16800.8427362519,16333.9033049296,10645.394071568,25131.4592670789,10,"Total"
11455.1128042058,11341.3579028402,7912.02082500444,15643.6583490684,11,"Total"
11043.0587597204,10921.533062739,8086.44641278792,14793.741736221,12,"Total"
414.506058885751,381.202446360755,177.347472382962,828.325780566215,1,"1"
744.660714469594,708.149337426997,347.522425795022,1418.15118644374,2,"1"
1179.61745738043,1137.56978576867,573.938294263855,2073.62341314461,3,"1"
1703.28677481518,1664.49999648491,1096.53136462158,2542.27397713795,4,"1"
1219.22759447269,1196.06983697021,743.343567247479,1893.91946824322,5,"1"
797.227802290737,752.47318328672,398.538867853654,1385.2160867387,6,"1"
1366.55064688241,1283.40460702491,633.065603672405,2592.84750520254,7,"1"
1467.76080266659,1397.56604471019,685.90463341083,2574.60672772876,8,"1"
1047.52753959473,989.933081672237,495.715818459722,1976.06787229961,9,"1"
2119.98840777308,2023.46769650822,1071.92559212701,3605.75375345464,10,"1"
1346.49450835325,1289.9639900799,769.504480031291,2248.6514033216,11,"1"
876.507885851372,848.640267061231,502.792596331271,1423.90957207469,12,"1"
133.489843371356,123.625790690274,64.2050554623191,258.285888186835,1,"2"
210.004539384204,197.552324445486,100.722683507867,399.575389984546,2,"2"
323.795351784445,301.064675650152,144.233412836577,614.416136270571,3,"2"
477.491159259082,467.084201796669,300.468253430556,697.467627380679,4,"2"
313.073280388501,308.126246551281,186.093397896818,473.366920055818,5,"2"
221.985721360506,206.662756899541,106.956124203659,410.065581224335,6,"2"
450.577174782593,421.024398181492,202.116136180374,866.346032158361,7,"2"
411.334110787713,391.830359552221,191.618572061593,769.249941163989,8,"2"
289.712431566261,273.531286945287,134.827244671653,560.265277058775,9,"2"
687.606177360446,654.707060924172,350.333647441131,1229.19218786413,10,"2"
461.174052146084,439.217838002754,246.431269483577,806.523242674173,11,"2"
302.554008579428,290.53275999008,156.975870818449,525.315504714286,12,"2"
135.758650589112,127.420291246135,58.592585149141,255.727634528793,1,"3"
184.760079454812,174.723806757388,76.4221818900222,355.321676695321,2,"3"
304.951843334727,284.552119078174,121.273567157421,601.914206351758,3,"3"
455.031193364709,442.825232925272,275.71245526791,714.608878930279,4,"3"
281.398749117338,273.154493630662,168.811812359,438.211082521313,5,"3"
193.472589459603,180.704063451378,88.7635870017157,374.64196189192,6,"3"
368.141332513002,352.476082095503,161.262780071505,685.027741457911,7,"3"
347.86123000276,325.254649275614,153.48212672527,650.899156979218,8,"3"
250.635274215301,232.536542467005,118.643818703736,478.297876865887,9,"3"
570.515818117736,545.080561767297,286.290345361831,1007.65349602931,10,"3"
351.127566576537,339.875306496412,179.159163675759,595.201513799006,11,"3"
245.612005586917,238.458550639029,127.877759095045,412.313481414705,12,"3"
90.9097841942928,84.8957443604739,42.3834894302733,168.739107945998,1,"4"
114.618506038032,108.194353099871,49.0965653475653,213.427570761003,2,"4"
193.348527901603,178.747771563643,79.5939110750116,379.622882375883,3,"4"
278.11511949599,267.596461118691,168.160272777012,435.64150993164,4,"4"
162.360134437682,157.259279842934,97.7235554893358,248.586459810431,5,"4"
108.015413302604,101.535020858772,52.7057330401334,205.972723213,6,"4"
197.926833247623,188.602153938964,84.3013846068538,365.911770538763,7,"4"
204.189134351821,192.268645293992,88.5029090914774,378.349590501326,8,"4"
152.830567917197,143.065427109453,72.8893268711554,285.968844851782,9,"4"
332.254931233442,318.279694854929,166.492628138814,579.233121286444,10,"4"
182.040091899037,175.307248519732,95.6488160285319,307.948272285216,11,"4"
132.352725547436,128.196553990819,72.1375007436606,217.028341567317,12,"4"
183.707471759358,172.163941075726,91.6379734315256,333.479343279375,1,"5"
210.712485704614,202.244908256479,98.2581092535096,377.072109399248,2,"5"
352.162572728552,325.67062295212,160.026363437838,689.272967231368,3,"5"
471.128007201135,462.062243121146,301.648806621017,724.108803299606,4,"5"
246.611258377831,236.102207346269,150.268943886685,397.25645011062,5,"5"
168.792860378778,156.600196835564,80.7216204275887,323.946524926419,6,"5"
250.908649308571,241.390838781042,108.240380109989,482.955579574222,7,"5"
316.140212493192,308.014621261121,149.921399378253,533.654605252192,8,"5"
260.620803355418,246.581285806752,124.897644257646,481.574775160448,9,"5"
513.190855119965,494.532700541972,269.832757507221,879.11804879577,10,"5"
222.944603048506,215.999872676026,117.894173437766,371.886771407709,11,"5"
186.983933082143,182.899684929694,109.851138801332,286.365944899092,12,"5"
401.500140400557,372.681536131155,171.338711556081,793.892787066743,1,"6"
440.146475549297,399.017003386689,173.446533227493,943.115606149023,2,"6"
623.808612786614,572.5265415503,238.775069911213,1272.52581052377,3,"6"
553.195030524086,524.971217314067,291.199389791721,950.614449844854,4,"6"
283.658287330734,265.47577347511,153.176694115705,528.330705800877,5,"6"
200.92376063369,183.434786672855,86.6165057767232,413.806358004804,6,"6"
259.497663064513,236.231044098625,91.8442680695014,553.051059850919,7,"6"
310.384057995395,294.413675581924,121.628833169476,591.723406143807,8,"6"
226.030195491042,207.22063266243,95.6810424696398,447.012644192687,9,"6"
498.687994872303,469.580974850428,244.537957871966,917.688323227419,10,"6"
227.956188092123,212.612283829008,111.329520759866,419.045121487941,11,"6"
207.117312979618,198.690602423678,102.680170810094,371.124683296644,12,"6"
