"Mean.totalDensity","Median.totalDensity","lower95","upper95","year","area"
0.00434026661348245,0.00223132244744845,0.000244299581598394,0.022724181198292,1,"Total"
0.000336263476204421,0.00010980221782256,6.02048154178669e-06,0.00209926057299303,2,"Total"
0.00105461921123337,0.000319767606585186,1.86698252492057e-05,0.00673164656509881,3,"Total"
0.0619550325842266,0.0352237878042263,0.00445687378518026,0.294782641810257,4,"Total"
0.090027172119913,0.0633055806478664,0.0127317638123145,0.313288235317433,5,"Total"
7.56623676449431,0.0679098385789593,0.000250450081914322,33.2094801426363,6,"Total"
0.721036199844345,0.00128523975450217,6.20630799493592e-07,1.07108524995217,7,"Total"
0.0761647318442144,0.000507034051422267,9.0722983773675e-07,0.158834759144928,8,"Total"
16.1137073844144,0.111025915966254,0.000314909906437,49.3336032999215,9,"Total"
4.67761626387394,0.0454408569245075,0.000168423410285293,23.9827229014488,10,"Total"
0.0364058611933789,0.00543381405111055,0.000162153623695433,0.199018616529922,11,"Total"
0.0785279206442996,0.041730749591384,0.00557525022430009,0.34434709477508,12,"Total"
5.5251634459121e-05,1.78967108603849e-05,1.08498533624683e-06,0.000298579219970049,1,"1"
6.91480864510739e-06,1.10516027408325e-06,2.16108093322605e-08,4.78913893814217e-05,2,"1"
6.01615695468393e-05,7.86999283262906e-06,1.19656750438877e-07,0.000433761996823102,3,"1"
0.00266215696366656,0.00114805820561621,0.00011866947815334,0.0152272416920005,4,"1"
0.00463783868385659,0.00292383229583801,0.000434357852618645,0.0183837416254109,5,"1"
0.114227148859298,0.0011050300399298,2.43699805843099e-06,0.573603403760211,6,"1"
0.0530025178238084,2.63123667753945e-05,1.70653682581107e-08,0.0284498513457613,7,"1"
0.0031676850506775,2.02931076306783e-05,2.65508416952655e-08,0.00748040312897094,8,"1"
2.2493337396209,0.0113666649807403,2.82282467168665e-05,4.98682042244605,9,"1"
0.337158133112661,0.00258101881822292,5.68711364681629e-06,1.74601881615264,10,"1"
0.00497899898664771,0.000431716984428646,1.12269567313892e-05,0.0218342908702585,11,"1"
0.00391528483620716,0.00101118322341203,5.07710713304753e-05,0.0199316023147409,12,"1"
1.39971057747123e-05,5.87100942319901e-06,5.47405924885331e-07,7.38252827483776e-05,1,"2"
1.66819704962847e-06,2.83635093095936e-07,1.00946044197823e-08,1.12460279240131e-05,2,"2"
1.18245707452414e-05,1.65544559293714e-06,2.73050696698935e-08,7.44328331397664e-05,3,"2"
0.000398353442166614,0.000187986384627884,1.76076225752946e-05,0.00211441281424594,4,"2"
0.00064563743639526,0.000424259610049078,6.59124114617521e-05,0.00267434322994998,5,"2"
0.0356774868996274,0.00029750938332834,8.36255302095609e-07,0.151344664713158,6,"2"
0.014779825645724,9.58859599862365e-06,8.16313188499852e-09,0.00939975951827993,7,"2"
0.00131852664066302,7.49853491975905e-06,1.33723814332404e-08,0.00252854527054501,8,"2"
0.362264221612587,0.00287083551601905,7.79923668037178e-06,1.10688665684267,9,"2"
0.161581706896478,0.0015089970760017,3.5553864169268e-06,0.743064373489468,10,"2"
0.00127649032116603,0.00015515013155531,4.44167938199932e-06,0.00659001083231916,11,"2"
0.00134450069664738,0.00056349380565795,5.894280436507e-05,0.00732945292500662,12,"2"
1.85067175296838e-05,9.45197536519629e-06,9.5213474887719e-07,9.17112069274187e-05,1,"3"
2.13507160454164e-06,3.81850844714259e-07,1.13519895017538e-08,1.34042378750433e-05,2,"3"
