"Mean.totalDensity","Median.totalDensity","lower95","upper95","year","area"
591.302413555065,493.792237489033,141.121205938648,1607.74132746029,1,"Total"
1163.66770818586,931.736084264882,236.531831186951,3304.79579294415,2,"Total"
1329.6797037234,969.308785706295,184.071896222926,4480.90902489059,3,"Total"
434.135298785588,402.007215882249,178.898769735785,867.640107989214,4,"Total"
789.50747127022,733.81738137529,369.059563172309,1451.9970113307,5,"Total"
1246.83610304348,1148.8243199517,494.476739042464,2619.24078635614,6,"Total"
1208.40556483624,928.693398501326,156.020212499474,3882.33016455957,7,"Total"
1299.09903140262,1043.79585329481,182.939935332811,3955.44311141776,8,"Total"
583.431190279609,481.663602255102,106.446523690277,1609.77172179638,9,"Total"
761.639081680068,614.362734506642,143.56188740723,2213.61600634536,10,"Total"
1228.59902194195,969.693856005972,238.244379670591,3766.5530571995,11,"Total"
610.12283839018,545.909629511654,211.448793501245,1376.7634099299,12,"Total"
47.4082377597728,28.7714878225836,4.11347928827455,220.673011942865,1,"1"
90.8875724678304,48.5624192642341,6.47911472454459,450.330397087278,2,"1"
132.094680674925,66.6022712091952,7.28295434451423,650.651457677615,3,"1"
39.2610205642925,25.3091165605638,5.12026593621957,169.02782946233,4,"1"
53.1299665691426,32.9924924118336,6.24995966009738,220.747836398202,5,"1"
99.9715927805182,63.8167465155859,11.5384688842321,408.495079331498,6,"1"
115.293971676857,53.3720778369903,3.8485300640593,575.883727998179,7,"1"
100.032462764572,43.188849044487,3.49830482489521,562.930398723223,8,"1"
33.9062326477543,15.9124362705077,1.63271025063512,162.780596367976,9,"1"
53.6037258279153,23.7362073362351,2.33244980846655,269.661249559998,10,"1"
97.8509652225334,45.8831053891369,4.73580109435811,472.687151554912,11,"1"
41.6328103405155,23.2021445711486,4.26347817386058,191.796226265263,12,"1"
68.0224304921073,50.571022590988,12.1372128591656,232.224986624159,1,"2"
132.357607048561,83.0875610445861,14.1819544695036,534.554339782687,2,"2"
157.381800278393,97.698136466979,12.4278537548267,609.284908755084,3,"2"
45.6969796904634,36.6142184499315,9.92684153501433,132.564670851942,4,"2"
72.0809958966289,56.9403713742578,17.3287462732879,199.788050078666,5,"2"
110.723560599523,86.5585356823069,24.2693699335885,325.743778095894,6,"2"
116.14049340123,69.8609673008205,7.85701439396134,495.518671334297,7,"2"
115.622939088959,68.8832014070921,8.00779715142079,505.153331945376,8,"2"
44.5196527260645,27.7087634854309,4.348029814068,181.436167832682,9,"2"
57.422866210155,38.1124668184646,5.88483702082851,203.102584064961,10,"2"
96.6658542975638,63.2502877992928,8.95284802230416,371.4019173632,11,"2"
41.7524286209746,31.8439892244357,6.95640719347041,145.880719976868,12,"2"
83.4107192144813,67.9203176785798,18.7828090677429,227.132182714587,1,"3"
177.304399566951,131.643127469471,25.6472458885257,559.420678141265,2,"3"
181.816811673629,127.943357157407,21.567680657034,629.378906799788,3,"3"
