"Mean.totalDensity","Median.totalDensity","lower95","upper95","year","area"
14441.9585823353,13814.8490594518,8309.40321753538,24358.3433033908,1,"Total"
31791.1895530587,31185.5797606459,19133.4914087512,48722.528070727,2,"Total"
26507.5285961995,25188.5128811975,13416.9495616643,45896.2652813288,3,"Total"
21968.2272495907,21459.1619172456,15728.837577773,30418.9992800106,4,"Total"
25103.7999557667,24661.5973113449,16740.0695935144,35969.9640431279,5,"Total"
27218.4981575239,26665.6078037765,17769.5594082928,39736.4939687604,6,"Total"
21339.1027295611,20945.3302578818,12388.5258800335,34462.2075954892,7,"Total"
25467.7707169074,24787.2592566365,15971.6570316432,39247.7320114897,8,"Total"
24381.2581782853,23434.5971952066,13919.0293127666,40531.6591898625,9,"Total"
27178.6760869202,26524.8332315122,17687.7545444311,41706.6338112508,10,"Total"
20730.7146747377,20334.1485779148,13178.7748157601,30953.4814368127,11,"Total"
25074.8205598222,24621.1835467591,16839.1101388511,36199.5832467883,12,"Total"
1722.3797270436,1586.69276299633,719.694626554825,3480.1020475405,1,"1"
4179.75145289532,3867.93193360345,1747.9809163762,8240.99772511011,2,"1"
3420.18817754688,3042.62008361466,1259.17514447768,7431.02054856205,3,"1"
2962.55922342848,2801.96922545135,1538.08150994776,5298.44221215267,4,"1"
3296.05476394316,3118.83862223836,1680.14698847276,5766.47476223769,5,"1"
3716.70353373758,3533.56012460257,1927.06563672369,6507.55058930804,6,"1"
2723.88761573487,2555.51466765772,1306.88952456841,4976.77148437998,7,"1"
3203.15770884535,3053.30120298533,1584.91121281459,5846.92791132298,8,"1"
2731.55523326684,2531.54977134121,1187.6862373674,5290.70897982727,9,"1"
3096.84172199453,2955.73183581193,1519.47958724105,5649.85136084451,10,"1"
2304.60989201496,2188.76889238086,1107.82496518193,4155.50284193162,11,"1"
2556.34278710173,2445.08145108899,1263.16599517157,4808.57349910122,12,"1"
1440.57524466095,1344.83858161341,650.42000082624,2803.57952514167,1,"2"
3093.12396922222,2963.63511544135,1456.07563768677,5587.0077931546,2,"2"
2730.28878536078,2496.59420320303,1105.5963297985,5703.76373780069,3,"2"
2458.79622510843,2363.52796957512,1510.20795259806,3816.3867766629,4,"2"
2882.62726185916,2781.9819241353,1629.65106214017,4690.30565277044,5,"2"
3309.82399183142,3172.72311459523,1834.27270610239,5500.82638803382,6,"2"
2619.37896601065,2521.06852123613,1307.97511202542,4695.19997740714,7,"2"
2879.02186130957,2733.88311265713,1646.2078111083,4713.14090338803,8,"2"
2503.37664906362,2397.8379833296,1243.36990906358,4241.49387107343,9,"2"
2652.52172899068,2561.30671209276,1409.19511495854,4564.4717983627,10,"2"
1828.67971473185,1781.24201441543,994.191979525156,2922.58103171197,11,"2"
2008.94273245121,1949.55034946742,1140.73513112158,3266.63158523961,12,"2"
736.849945256911,705.796954066704,311.001115372154,1410.74123102425,1,"3"
1546.39910666267,1455.60139433617,708.548684589713,2942.09044911746,2,"3"
1282.25486118294,1162.50469222958,467.537206127596,2798.62870076788,3,"3"
1083.34824505381,1029.27332690644,598.756887610725,1867.38819162056,4,"3"
1296.87407316803,1241.77417175476,691.741456122596,2183.83085108222,5,"3"
1524.90735024123,1450.81054798794,837.458531250599,2693.90019882625,6,"3"
1231.23578885006,1155.10987452173,576.019361336893,2293.2617461338,7,"3"
1321.22587728441,1248.17303698478,682.582375475733,2445.86903113661,8,"3"
1195.7946157117,1122.40669392832,559.224199938488,2205.55051240082,9,"3"
1230.1872852522,1167.64310410771,607.915883806554,2217.59179084493,10,"3"
797.080369109541,758.194997757919,403.989533875769,1373.88597216853,11,"3"
952.521273912759,915.551013775097,500.108177181019,1624.58934729926,12,"3"
483.427128529643,456.535271304648,197.161117088047,938.228684459622,1,"4"
1085.17215727129,1019.29941851283,503.027317272046,2045.30040870163,2,"4"
