"Mean.avgPresence","Median.avgPresence","lower95","upper95","year","area"
0.000166260970849007,6.65532360159427e-05,6.25186053395469e-06,0.000946406875056161,1,"Total"
0.000207391387939303,6.31266174775867e-05,3.08730404484921e-06,0.00152491190108477,2,"Total"
5.3250170939356e-05,1.67712014854686e-05,6.81762747063278e-07,0.000407326993063123,3,"Total"
0.000234674853320098,0.000131630829492814,1.6491728179141e-05,0.000975188156862503,4,"Total"
8.57458089697753e-05,3.91618836596627e-05,2.62676102527118e-06,0.000477584946249573,5,"Total"
0.000138378410863955,5.80061581400167e-05,4.98564226887297e-06,0.000793103721912149,6,"Total"
0.00220382466825864,0.000140536916804077,4.14223406138467e-07,0.0205837960967326,7,"Total"
0.00209944508516039,9.06800306606626e-05,1.8619178996473e-07,0.0164612862732156,8,"Total"
0.0243310549814676,3.40209093475477e-10,7.85330098907814e-22,0.345332658792914,9,"Total"
0.000460383265284323,1.63227423363695e-05,6.43570002818834e-08,0.00350012967065787,10,"Total"
0.000960027415447625,6.55893217009914e-05,3.00250678012015e-07,0.00901033325189116,11,"Total"
5.57594572694193e-05,6.86816492000852e-06,1.83777269926496e-07,0.000444566989656952,12,"Total"
5.15137208298982e-06,1.00317814583371e-09,7.39209498154806e-14,5.18124301274181e-06,1,"1"
3.84622003742061e-06,1.85631833391569e-09,1.30264999196596e-13,7.17029931501061e-06,2,"1"
2.30315138800668e-06,6.7886829842425e-10,6.15230279479398e-14,1.98030585977839e-06,3,"1"
9.70974897911053e-06,3.77712679784188e-09,1.01447569537488e-12,7.61779835739957e-06,4,"1"
3.07349393879104e-06,2.28787831140548e-09,4.50145253726364e-13,5.51660578906183e-06,5,"1"
3.45861591150912e-06,5.72951104013285e-09,1.57446060256646e-12,1.55332708785675e-05,6,"1"
0.000390283752589834,2.59996773279617e-08,3.3873727298158e-12,0.000106158877587626,7,"1"
0.000167439238270465,2.53616930084157e-08,3.8132587811109e-12,0.000103984478792429,8,"1"
0.016740481728506,4.66673741014223e-13,9.15309015741992e-26,0.195094164304285,9,"1"
0.000265226363056049,3.27212714273475e-08,7.61486441458422e-12,0.000216699837098865,10,"1"
0.000155330339795913,7.51214609064459e-08,1.25449709382579e-11,0.000946609017368996,11,"1"
2.30829558494981e-05,6.87085976022992e-09,1.03092537573004e-12,2.46105946367269e-05,12,"1"
6.49310039042292e-06,6.39233435717392e-10,1.01843642170332e-13,7.6413254362678e-06,1,"2"
9.82794309708979e-06,1.17392645264708e-09,6.32484261791178e-14,1.18950542986274e-05,2,"2"
1.36879175572847e-06,3.28867804613047e-10,2.74708038296051e-14,1.96619247411416e-06,3,"2"
1.10388997109225e-05,2.13662201768768e-09,3.3629565039292e-13,1.97592634973171e-05,4,"2"
3.75131126877575e-06,9.48546477203235e-10,2.42091649750186e-13,1.45253973562288e-05,5,"2"
7.89179770558686e-06,2.06167834961936e-09,2.5694973376323e-13,3.16695958937118e-05,6,"2"
7.86896914465396e-05,7.71196669562353e-09,4.34160883163891e-13,0.0001077540170351,7,"2"
0.000114346731980664,5.4144201035814e-09,1.51730662923411e-13,0.000163757610631282,8,"2"
0.00897123139398302,6.42203729434395e-14,3.57408090362438e-26,0.0549605196267134,9,"2"
0.000229969179929137,3.44082034922094e-09,4.66807191010408e-13,8.72071343454129e-05,10,"2"
0.00016129447166695,1.29219273096092e-08,1.04288106554127e-12,0.000418233297111436,11,"2"
2.22342939840235e-05,1.09989574496437e-09,9.75565803252944e-14,2.52796580170736e-05,12,"2"
2.95566465044026e-05,1.03904432641526e-09,7.22472761939415e-14,1.68982018710089e-05,1,"3"
2.57453781969644e-05,1.47944834284074e-09,1.16099986609983e-13,1.67421383711978e-05,2,"3"
6.77094820421322e-06,4.51880385731128e-10,3.63769539370745e-14,4.23644961791633e-06,3,"3"
7.88831800538779e-05,2.72320575586583e-09,2.69948615303934e-13,3.97719296633542e-05,4,"3"
2.40075019041686e-05,1.00245164758697e-09,1.55303880465736e-13,2.3371833035281e-05,5,"3"
2.2351867732588e-05,2.11341543381787e-09,2.55020727065799e-13,4.70661249507111e-05,6,"3"
0.000235054167590699,8.09446686546866e-09,1.75596494035564e-13,0.000187370023160171,7,"3"
0.000258248435310771,5.64075312219989e-09,8.94891753158095e-14,0.000146700479444987,8,"3"
0.0102514662014065,3.79253147572101e-14,3.84271550997629e-26,0.0874523381260328,9,"3"
0.0002932059985792,2.63223733461568e-09,1.45148814343931e-13,8.46186055579855e-05,10,"3"
0.000517312712817233,8.29981429752761e-09,1.29936999988115e-13,0.000376546177038889,11,"3"
2.64564195923266e-05,7.84612550946151e-10,6.78098056474514e-14,2.86229187156866e-05,12,"3"
2.07297478944065e-05,7.72401590593722e-10,1.02234656696198e-13,7.98762636529348e-06,1,"4"
1.37704068400666e-05,1.23509940886974e-09,1.08896155646506e-13,8.48358228240718e-06,2,"4"
4.1848380440532e-06,3.69657522926479e-10,4.02554151958159e-14,2.01211217086804e-06,3,"4"
5.534247032877e-05,2.50980477084375e-09,2.41336900022812e-13,1.78165786862653e-05,4,"4"
1.2826696360092e-05,9.0344618197884e-10,1.31915208735806e-13,9.57534316415116e-06,5,"4"
1.05561715294735e-05,1.4597011201513e-09,2.43698606419191e-13,2.83314600065472e-05,6,"4"
0.000117571642535405,5.21150476779351e-09,2.97285854699751e-13,9.70848011104451e-05,7,"4"
0.000180227385997178,3.91832422746536e-09,8.88165535416579e-14,7.12236178522356e-05,8,"4"
0.00879521600405901,3.2244824812114e-14,1.7081518104125e-26,0.038644221506563,9,"4"
0.000143902969606371,2.01418561002709e-09,1.38577613543444e-13,5.79768342692607e-05,10,"4"
0.000399165124263269,5.02643439549441e-09,2.07079719945206e-13,0.00027154498031014,11,"4"
1.82675172775367e-05,5.4188458510721e-10,3.9661692198366e-14,1.51761939372923e-05,12,"4"
2.21449690142898e-05,1.48660153828191e-09,2.58630866416936e-13,9.4138399031605e-06,1,"5"
1.21580585486826e-05,1.66652333599256e-09,2.56038019533747e-13,1.28505951633944e-05,2,"5"
4.25765077282608e-06,5.97996166652593e-10,6.12182793707715e-14,3.33013398844431e-06,3,"5"
5.13116506828342e-05,3.76632065713532e-09,4.74554004289218e-13,1.84532849219661e-05,4,"5"
1.11604904736894e-05,1.3750839928313e-09,1.98600761533501e-13,8.43456409376807e-06,5,"5"
1.14197523468426e-05,2.50107197340136e-09,4.06911811884644e-13,2.3714904006995e-05,6,"5"
0.000121242869099268,6.80329101395332e-09,3.34653502636645e-13,0.000108390345466259,7,"5"
0.000217990715092817,4.99576053443506e-09,1.67449792974732e-13,8.87985675215164e-05,8,"5"
0.010357174875304,5.62494908418722e-14,3.46113478436155e-26,0.03750319457445,9,"5"
0.000111151050681513,2.33939839743204e-09,1.94411776386156e-13,5.62555114216251e-05,10,"5"
0.000362201565761021,7.44008411582942e-09,2.58358511049757e-13,0.000216124070730627,11,"5"
2.0073495230355e-05,7.66719954948794e-10,7.50536263286765e-14,1.38399768586059e-05,12,"5"
2.89707536597987e-05,1.04127543006197e-08,5.27828425896703e-12,1.64122562725973e-05,1,"6"
1.63447954580762e-05,1.35067332135319e-08,5.44056215630712e-12,3.585844099318e-05,2,"6"
9.46449954617104e-06,3.61400982911998e-09,1.23531506937537e-12,5.77686203963613e-06,3,"6"
4.85379658054056e-05,2.40408169143609e-08,1.15093863448317e-11,2.25656208765855e-05,4,"6"
1.36979585672527e-05,8.99659165286766e-09,4.95132595725214e-12,1.54565964875863e-05,5,"6"
4.99506023731338e-05,1.2495000289612e-08,8.09731084171103e-12,2.27139083109791e-05,6,"6"
0.000130004150470773,3.00307964177042e-08,5.94397326710885e-12,0.000333798123882012,7,"6"
0.000198292914399605,2.06541960954039e-08,2.86442764444172e-12,0.000304251715720975,8,"6"
0.0107788379200571,1.70170672431348e-13,1.83053234123184e-25,0.107763864471595,9,"6"
0.000167838691321961,8.88970858863787e-09,9.00994342580475e-13,0.000123462578209109,10,"6"
0.000378895807841482,2.61342296124828e-08,2.60211783385162e-12,0.000283623572773524,11,"6"
7.65780461133621e-05,2.43260010996808e-09,4.72340295712357e-13,2.34993285059325e-05,12,"6"
1.50993454999964e-05,7.22637467313858e-07,6.80310590988593e-09,7.67567155705832e-05,1,"7"
1.67747205686148e-05,7.83398125561803e-07,6.01678322602565e-09,0.000103459696185943,2,"7"
5.52836402113749e-06,1.90941096158496e-07,1.44377442581482e-09,3.20469337225545e-05,3,"7"
2.12329153772466e-05,1.34588831297418e-06,2.34355237065802e-08,0.000131238016467638,4,"7"
8.47432433673209e-06,3.85058329524667e-07,5.36193829752944e-09,6.18086150140128e-05,5,"7"
1.27289922126049e-05,5.67093006081278e-07,6.0118839776415e-09,7.1823642721219e-05,6,"7"
0.000313696640793953,1.2904934037348e-06,1.15399941052008e-09,0.00103486966684046,7,"7"
0.000338126040164484,9.06447571314117e-07,6.75441274826776e-10,0.00111829329809437,8,"7"
0.0164584036227603,6.99812103393915e-12,7.06236622143156e-24,0.245675860055493,9,"7"
6.88094686494323e-05,1.95485424759334e-07,3.37728059887651e-10,0.000245779532678576,10,"7"
0.000151049193963576,8.08532617884478e-07,1.18285530659839e-09,0.000595648201329438,11,"7"
1.08691819320071e-05,6.94737896816128e-08,2.997759693566e-10,2.85977854870214e-05,12,"7"
3.55279593363177e-05,3.2205752375579e-06,5.30947770729514e-08,0.000214168415453284,1,"8"
4.17802014645574e-05,3.6192560072722e-06,5.47837149708013e-08,0.000283174763770633,2,"8"
1.27137321735729e-05,8.89739400790446e-07,1.09136245003247e-08,8.79064660539685e-05,3,"8"
5.88963791934417e-05,5.91064616650944e-06,1.44004041903572e-07,0.000392673090336087,4,"8"
2.03370585633052e-05,1.79920516414916e-06,3.60071340716053e-08,0.00013686936117432,5,"8"
2.04133274252187e-05,2.64625041522058e-06,4.4679350577807e-08,0.000131224564957153,6,"8"
0.000805326726746966,6.70942075731448e-06,1.22262805752831e-08,0.00362387642371664,7,"8"
0.000960371533315975,3.8128102333814e-06,4.57177829855656e-09,0.00397675062824443,8,"8"
0.0255602145397563,2.1588842121677e-11,1.15158443122224e-23,0.447733081517929,9,"8"
6.86613502962225e-05,8.56177911419727e-07,1.33151288202783e-09,0.000443593841287233,10,"8"
0.000231855515084061,3.16172739690351e-06,6.80178816609324e-09,0.00118800500127408,11,"8"
1.09559349598818e-05,2.71525937849338e-07,1.41018975993789e-09,7.15466605635227e-05,12,"8"
0.00174646980846378,0.000741020411997246,6.65908222951538e-05,0.00995331149295086,1,"9"
0.00236254905479572,0.000661286111835035,3.01681846336792e-05,0.0180625461084778,2,"9"
0.000590796460486473,0.000171268337430627,6.22309371894026e-06,0.00453206023175463,3,"9"
0.00230911102441593,0.00131119542201134,0.000140356391842475,0.0100317169127665,4,"9"
0.000848999934679269,0.000390655869354403,2.51317576123641e-05,0.00499670726610497,5,"9"
0.00139522910482523,0.000574463652778118,4.47242554142885e-05,0.00796920540484282,6,"9"
0.0176857844805482,0.00147739080822278,4.64027719896762e-06,0.147695291827136,7,"9"
0.0163754757623736,0.000966933430077319,2.13088534852677e-06,0.138677587586951,8,"9"
0.0612806810536936,3.97341316310853e-09,2.92839650232112e-21,0.772515644787144,9,"9"
0.00317664876251236,0.000161376482801387,5.19078509584498e-07,0.0256773882568356,10,"9"
0.00762486628552984,0.000564130172306351,2.98299202901554e-06,0.059057266933312,11,"9"
0.000380243125270706,5.53441007694624e-05,1.21924720852828e-06,0.00342441774022679,12,"9"
0.000473961677590541,0.000125302604015269,6.62671394468997e-06,0.00288150544061033,1,"10"
0.00055426256138091,0.000119222920601634,5.09694151510014e-06,0.00447620848744529,2,"10"
0.000137594616830529,3.11983941561187e-05,1.05071205029886e-06,0.00118729401406947,3,"10"
0.000683488604295932,0.000258841305644403,2.01965390845026e-05,0.00354451353789903,4,"10"
0.000254231120614007,7.80451414503074e-05,4.01510896397833e-06,0.00134023616452753,5,"10"
0.000415732203003093,0.000125029190384052,7.81732537261641e-06,0.00273439931320122,6,"10"
0.00788887667568757,0.000271215740676158,7.36916175215012e-07,0.0765915009260169,7,"10"
0.00741436467751586,0.000172293989104396,2.71813897781593e-07,0.0615152023629468,8,"10"
0.0579250273704081,6.28830367686209e-10,4.18930741714914e-22,0.906878411518222,9,"10"
0.0013776435084959,2.93348285459665e-05,1.13907833400912e-07,0.0099243072487602,10,"10"
0.00297693444196258,0.000131100263294919,4.77479493588711e-07,0.0226380143451566,11,"10"
0.000132590460830422,1.46141935211747e-05,3.73122621048787e-07,0.00131614161285812,12,"10"
7.21886910065121e-05,9.26817777906481e-06,1.77715255370861e-07,0.000587710891214802,1,"11"
6.82961579625189e-05,8.86653015970564e-06,1.597616971008e-07,0.000582798880660903,2,"11"
1.83620233816648e-05,2.32556553538603e-06,3.454630874122e-08,0.00013362506483021,3,"11"
0.00011865939626616,2.14119367318212e-05,7.84444374882846e-07,0.000872269279780332,4,"11"
4.68433928415994e-05,8.06498134622759e-06,1.79890213091633e-07,0.000248055751352468,5,"11"
6.54586805298111e-05,1.16615712972158e-05,3.21201663109322e-07,0.000462311607154645,6,"11"
0.0017268014216048,2.02367688712367e-05,2.48272831768966e-08,0.0111592500491761,7,"11"
0.0018125391716112,9.6343435801854e-06,9.71101703647307e-09,0.0104169567111349,8,"11"
0.0313231103585699,4.23585427012162e-11,2.05113199240149e-23,0.570032114594213,9,"11"
0.000301562188648791,1.84720495804757e-06,4.1915373137755e-09,0.00174569873604661,10,"11"
0.000620361231992491,1.24982406150999e-05,3.48600203788392e-08,0.00678764363060197,11,"11"
2.8931697908612e-05,1.45203647811651e-06,1.51911276485215e-08,0.000282176441217963,12,"11"
