"Mean.totalDensity","Median.totalDensity","lower95","upper95","year","area"
277422.450666994,249060.92639858,140639.692764033,593147.388970816,1,"Total"
559959.429048275,491203.460729879,244564.820368695,1286358.53081831,2,"Total"
370142.421254539,329172.933102928,177526.339851925,757795.861989481,3,"Total"
144681.51371682,140946.712390773,102921.009746989,209562.352192702,4,"Total"
289430.663716154,283446.784271741,191289.248292825,429155.620181437,5,"Total"
97860.8321805855,90110.9485085302,44063.0341185508,183833.738662372,6,"Total"
85205.5900922011,77758.0408602771,27672.3862903363,186399.179158387,7,"Total"
40546.3968318647,37588.2280058486,11397.7648140903,82240.2038353716,8,"Total"
28709.6524135082,26536.1090969152,9839.350253628,58956.5347950329,9,"Total"
48466.8533347978,45300.2251410268,19836.3135667893,91617.6545609712,10,"Total"
193892.013420667,193090.558893923,94539.6403132187,300626.309702838,11,"Total"
155657.655114814,153269.674270677,112059.281523965,207142.284773708,12,"Total"
86053.3740774604,57739.7755191761,20194.5061273722,351342.059132636,1,"1"
31734.7811844353,25200.5671217325,8007.22109883668,98244.1004009221,2,"1"
12639.6561866148,9895.76900354907,2912.23946658584,35552.9344156877,3,"1"
8912.09061090817,8612.49408788876,5007.09374645082,14894.4496200978,4,"1"
11323.8118743169,11071.6325674641,6748.60479508925,18118.8408867682,5,"1"
2792.81962299607,2538.52092792259,1193.53644898848,5996.91623556829,6,"1"
7133.319039332,6031.3991428248,1710.8589822922,19503.1337709775,7,"1"
2018.18391577987,1729.67919346659,363.582421763283,5207.22831690806,8,"1"
770.869004539111,646.797365289553,164.441591583972,1983.37616031131,9,"1"
2834.22258138422,2356.77502202397,693.476658677453,7334.23201401208,10,"1"
59078.9455093986,57444.438367716,24013.1569176415,102644.331979855,11,"1"
12851.1235299066,11983.373646872,5954.03202416087,24620.1045462167,12,"1"
2838.08036036786,2319.86026371166,742.441509978603,8288.58966960881,1,"2"
5105.00058799637,4246.21506996898,1645.06127547191,12935.5988139906,2,"2"
12431.910706407,9853.58957446774,2356.58780110162,37851.1449261162,3,"2"
13028.4841960278,12308.5653403201,6695.54724265517,22665.8285739549,4,"2"
41968.5777828204,40761.611655718,23811.8253185283,70159.129708655,5,"2"
4255.98606017289,3820.61897538073,1639.80696976851,9182.11949328147,6,"2"
3384.61407835272,2853.14791140159,814.142697233914,9220.22769488303,7,"2"
1410.86719438893,1196.89494671725,298.681443924889,3707.3280457728,8,"2"
419.969579714808,353.165760970526,93.6799207261642,1054.56329380201,9,"2"
1919.02326724828,1772.10641912926,568.743434945309,4282.06143673396,10,"2"
23861.4555686748,22660.0374761674,10381.6859050083,46153.3221203264,11,"2"
5650.03557182647,5448.19637846893,2794.11858339353,9715.35721632546,12,"2"
3489.84288497729,2918.60671929984,1088.74278456916,9135.19295119515,1,"3"
4754.01936052364,3249.49685384531,927.044968871336,16904.369663879,2,"3"
10896.0743651309,7224.33184842621,1692.12235620442,44951.7379562028,3,"3"
11162.4153459938,9644.68025839821,4027.63036239262,25857.0392045799,4,"3"
62424.0102831777,57743.7347305923,26835.1403705855,123482.115090422,5,"3"
6374.97239154348,5347.36378288375,1936.2805433173,16137.9812612327,6,"3"
3629.48122710379,3064.78229678882,944.15195987225,10572.3475493832,7,"3"
706.606663446728,573.537762790918,156.471809607169,1867.1879457441,8,"3"
220.327828817595,185.837128595209,51.8017633753473,594.72138161837,9,"3"
1430.23653898508,1270.32873117301,408.496463784633,3594.81313332811,10,"3"
