"","database.name","taxon","species","genus","family","order","class","superclass","subphylum","phylum","kingdom","genus.species","common.name","fish.invert","pelagic.benthic","total.biomass.fish","All","diet","guild","Repro","repro.class","eggs","larvae","repro.notes","diet1","diet2","age_recruit","age_class"
"1","Albatrossia.pectoralis","Albatrossia pectoralis","pectoralis","Albatrossia","Macrouridae","Gadiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Albatrossia pectoralis","giant grenadier","fish","benthic",1,"All","I, C","A","oviparous","P","unknown","pelagic","","I","C",1.31189100243159,"Short"
"2","Anoplopoma.fimbria","Anoplopoma fimbria","fimbria","Anoplopoma","Anoplopomatidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Anoplopoma fimbria","sablefish","fish","benthic",1,"All","G","A","oviparous","P","pelagic","pelagic","non-guarders","G",NA,1.53636540964475,"Short"
"3","Atheresthes.stomias","Atheresthes stomias","stomias","Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Atheresthes stomias","arrowtooth flounder","fish","benthic",1,"All","G","A","oviparous","P","pelagic","pelagic","non-guarders","G",NA,1.99383822310311,"Short"
"4","Gadus.macrocephalus","Gadus macrocephalus","macrocephalus","Gadus","Gadidae","Gadiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Gadus macrocephalus","Pacific cod","fish","benthic",1,"All","I, B","A","oviparous","P","demersal","pelagic","","I","B",1.17180298515395,"Short"
"5","Hemitripterus.bolini","Hemitripterus bolini","bolini","Hemitripterus","Hemitripteridae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Hemitripterus bolini","bigmouth sculpin","fish","benthic",1,"All","F, B","A","oviparous","P","demersal","pelagic","","F","B",3.20619887817077,"Medium"
"6","Hippoglossus.stenolepis","Hippoglossus stenolepis","stenolepis","Hippoglossus","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Hippoglossus stenolepis","Pacific halibut","fish","benthic",1,"All","G","A","oviparous","P","pelagic","pelagic","non-guarders","G",NA,1.99101543757747,"Short"
"7","Oncorhynchus.tshawytscha","Oncorhynchus tshawytscha","tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Oncorhynchus tshawytscha","Chinook salmon","fish","pelagic",1,"All","F","A","oviparous","P","fresh","fresh","","F",NA,0.609259643401179,"Short"
"8","Ophiodon.elongatus","Ophiodon elongatus","elongatus","Ophiodon","Hexagrammidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Ophiodon elongatus","lingcod","fish","benthic",1,"All","F, C","A","oviparous","P","demersal ","pelagic","guarders","F","C",1.06778810067209,"Short"
"9","Bathyraja.aleutica","Bathyraja aleutica","aleutica","Bathyraja","Arhynchobatidae","Rajiformes","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia","Bathyraja aleutica","Aleutian skate","fish","benthic",1,"All","I, B","B","oviparous-egg case","E","demersal","demersal","","I","B",1.10792249167766,"Short"
"10","Bathyraja.interrupta","Bathyraja interrupta","interrupta","Bathyraja","Arhynchobatidae","Rajiformes","Chondrichthyes","Chondrichthyes","Vertebrata","Chordata","Animalia","Bathyraja interrupta","sandpaper skate","fish","benthic",1,"All","I, B","B","oviparous-egg case","E","demersal","demersal","","I","B",1.5544283166822,"Short"
"11","Dasycottus.setiger","Dasycottus setiger","setiger","Dasycottus","Psychrolutidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Dasycottus setiger","spinyhead sculpin","fish","pelagic",1,"All","I, B","B","oviparous","P","demersal","pelagic","","I","B",3.95452232430165,"Medium"
"12","Glyptocephalus.zachirus","Glyptocephalus zachirus","zachirus","Glyptocephalus","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Glyptocephalus zachirus","rex sole","fish","benthic",1,"All","I, B","B","oviparous","P","pelagic","pelagic","","I","B",1.71196766735674,"Short"
"13","Hemilepidotus.jordani","Hemilepidotus jordani","jordani","Hemilepidotus","Cottidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Hemilepidotus jordani","yellow Irish lord","fish","benthic",1,"All","I, B","B","oviparous","P","demersal","pelagic","","I","B",3.20619887817077,"Medium"
"14","Hexagrammos.decagrammus","Hexagrammos decagrammus","decagrammus","Hexagrammos","Hexagrammidae","Scorpaeniformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Hexagrammos decagrammus","kelp greenling","fish","benthic",1,"All","I, B","B","oviparous","P","demersal","pelagic","guarders","I","B",1.40809666110827,"Short"
"15","Hippoglossoides.elassodon","Hippoglossoides elassodon","elassodon","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Hippoglossoides elassodon","flathead sole","fish","benthic",1,"All","I, B","B","oviparous","P","pelagic","pelagic","non-guarders","I","B",3.17775850600625,"Medium"
"16","Hydrolagus.colliei","Hydrolagus colliei","colliei","Hydrolagus","Chimaeridae","Chimaeriformes","Holocephali","Pisces","Vertebrata","Chordata","Animalia","Hydrolagus colliei","spotted ratfish","fish","benthic",1,"All","I, B","B","oviparous-egg case","E","demersal","demersal","non-guarders","I","B",1.67225579551793,"Short"
"17","Isopsetta.isolepis","Isopsetta isolepis","isolepis","Isopsetta","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Isopsetta isolepis","butter sole","fish","benthic",1,"All","I, B","B","oviparous","P","pelagic","pelagic","non-guarders","I","B",2.23595864696757,"Medium"
"18","Lepidopsetta.sp.","Lepidopsetta sp",NA,"Lepidopsetta","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Lepidopsetta spp.","rock soles","fish","benthic",1,"All","I, B","B","oviparous","P","pelagic","pelagic","non-guarders","I","B",3.22358418518107,"Medium"
"19","Limanda.aspera","Limanda aspera","aspera","Limanda","Pleuronectidae","Pleuronectiformes","Actinopterygii","Pisces","Vertebrata","Chordata","Animalia","Limanda aspera","yellowfin sole","fish","benthic",1,"All","I, B","B","oviparous","P","pelagic","pelagic","non-guarders","I","B",4.38436027373874,"Long"
