genus.species,common.name,region,nlifeHistoryFemale,nlifeHistoryMale,nlifeHistoryCombined,VBKmedianFemale,VBKmedianMale,VBKmedianCombined,VBKmeanFemale,VBKmeanMale,VBKmeanCombined,Linf.medianFemale,Linf.medianMale,Linf.medianCombined,Linf.meanFemale,Linf.meanMale,Linf.meanCombined,LinfType,lengthConversionFLtoTL,lengthConversionSLtoTL,lengthConversionRef,Lmat,LmatType,Lmax,LmaxType,Lcom,LcomType,AgeMax,comments
Albatrossia pectoralis,giant grenadier,general,4,1,5,0.13,0.2,0.13,0.1325,0.2,0.136,128.7,94.2,126.9,128.625,94.2,126.3,TL,,,,65-100,,210,TL,85,unknown,56,
Anoplopoma fimbria,sablefish,general,9,7,19,0.16,0.26,0.19,0.228,0.294,0.25,81.6,65.7,74,78.16,65.79,75.5,TL,,,,60.5,,120,TL,80,TL,94,
Atheresthes stomias,arrowtooth flounder,general,2,2,4,0.1,0.24,0.1,0.08,0.165,0.12,85.6,69.7,81.9,83.75,59.7,71.7,unknown,,,,37.9,,84,TL,50,TL,23,
Atheresthes stomias,arrowtooth flounder,GoA,1,1,,,,,0.102,0.236,,,,,81.9,49.7,,FL,,,,,,,,,,,
Bathymaster signatus,searcher,general,,,,,,,,,,,,,,,,,,,,,,38,TL,30,TL,9,
Bathyraja aleutica,Aleutian skate,general,,,,,,,,,,,,,,,,,,,,112-132,,161,TL,,,,
Bathyraja aleutica,Aleutian skate,GoA,,,,,,,,,,,,,,,,,,,,,,154,TL,,,14,
Bathyraja interrupta,sandpaper skate,general,1,1,2,0.24,0.19,,0.24,0.19,0.22,53.7,58,,53.7,58,55.9,TL,,,,,,86,TL,,,,
Bathyraja interrupta,sandpaper skate,GoA,,,,,,,,,,,,,,,,,,,,,,83,TL,,,19,
Berryteuthis magister,magister armhook squid,general,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chionoecetes bairdi,Tanner crab,general,,,,,,,,,,,,,,,,,,,,11.3,,,,,,,Length at maturity for males is from Somerton 1981
Clupea pallasii,Pacific herring,general,,,6,,,0.36,,,0.37,,,32,,,30.4,TL,,,,21.4,,46,TL,25,SL,19,gender not indicated in FishBase Growth table
Dasycottus setiger,spinyhead sculpin,general,,,1,,,0.11,,,0.11,,,56.7,,,56.7,SL,,1.212,photo in Podell-Eberhardt 2012 undergrad thesis,,,45,SL,,,11,
Dasycottus setiger,spinyhead sculpin,GoA,,,,,,,,,,,,,,,,,,,,,,22,,,,,
Sebastes group 1,,general,3,2,6,0.22,0.24,0.22,0.227,0.23,0.22,46.1,46.1,46.1,46.33,45.9,46.4,FL,1.021,,"mean of other Sebastes species in this spreadsheet, from Fishbase",36.5,,43.1,SL,,,50,data are for Sebastes variabilis
Gadus macrocephalus,Pacific cod,general,,,6,,,0.22,,,0.2,,,105.4,,,107.5,TL,,,,67,,119,TL,,,25,gender not indicated in FishBase Growth table
Gadus macrocephalus,Pacific cod,GoA,,,1,,,,,,0.172,,,,,,98.22,FL,,,,,,,,,,,GoA Stock Assessement estimates are for model 3 1/4 (best fit model)
Glyptocephalus zachirus,rex sole,general,2,2,4,0.31,0.38,0.31,0.24,0.28,0.26,44.9,39.5,39.5,41.05,36.45,38.8,unknown,,,,,,60,TL,36,TL,27,
Glyptocephalus zachirus,rex sole,GoA,1,1,,,,,0.31,0.38,,,,,44.9,39.5,,FL,,,,,,,,,,,
Hemilepidotus jordani,yellow Irish lord,general,,,,,,,,,,,,,,,,,,,,,,41,TL,,,,
Hemilepidotus jordani,yellow Irish lord,GoA,,,,,,,,,,,,,,,,,,,,,,50,FL,,,,
Hemitripterus bolini,bigmouth sculpin,general,,,,,,,,,,,,,,,,,,,,,,73,TL,,,,
Hemitripterus bolini,bigmouth sculpin,GoA,,,,,,,,,,,,,,,,,,,,,,86,FL,,,,
Hexagrammos decagrammus,kelp greenling,general,,,,,,,,,,,,,,,,,,,,,,61,TL,,,18,
Hippoglossoides elassodon,flathead sole,general,2,2,4,0.19,0.26,0.19,0.13,0.18,0.155,66.4,48.6,48.6,55.3,42.7,49,unknown,,1.223,photo in Wellings & Chuinard 1964,,,52,SL,,,27,
Hippoglossoides elassodon,flathead sole,GoA,1,1,,,,,0.189,0.256,,,,,44.22,36.78,,FL,,,,,,,,,,,
